time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name,dlts_pf_model,p_coef_model,time_constant_power_model,time_constant_model,amplitude_model,rmse_model
2022-04-28 12:43:38,2500.0,-0.3275,263.208,-0.000655,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0005351704009506549,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,0.00011982959904934508
2022-04-28 12:43:42,1985.8207,-0.3578,263.202,-0.0007156,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0006455240804183791,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,7.007591958162098e-05
2022-04-28 12:43:46,1577.3937,-0.4462,263.196,-0.0008924,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0007749806336341384,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,0.0001174193663658616
2022-04-28 12:43:50,1252.9686,-0.5032,263.213,-0.0010064,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0009268373123082337,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,7.95626876917663e-05
2022-04-28 12:43:54,995.2686,-0.5492,263.195,-0.0010984,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.001104842668373539,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,6.442668373538973e-06
2022-04-28 12:43:58,790.5701,-0.6613,263.199,-0.0013226,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0013132105322177679,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,9.389467782232059e-06
2022-04-28 12:44:02,627.9723,-0.7657,263.197,-0.0015314,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0015566027030190872,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,2.5202703019087166e-05
2022-04-28 12:44:06,498.8163,-0.9009,263.205,-0.0018018,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0018400623371403638,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,3.826233714036365e-05
2022-04-28 12:44:09,396.2239,-1.034,263.199,-0.002068,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0021688703463356744,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,0.00010087034633567441
2022-04-28 12:44:13,314.7319,-1.236,263.203,-0.002472,1,200,20.0,-1.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0025482840046659474,0.74093370192551,-1.682567683528257,0.020769800090717917,-0.008944563739439157,7.628400466594756e-05
