time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name,dlts_pf_model,p_coef_model,time_constant_power_model,time_constant_model,amplitude_model,rmse_model
2022-04-29 15:07:38,2500.0,-2.142,263.276,-0.0002142,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00014374058703181327,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,7.045941296818673e-05
2022-04-29 15:07:41,1985.8207,-1.593,263.276,-0.0001593,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00014568799678176412,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,1.3612003218235877e-05
2022-04-29 15:07:45,1577.3937,-1.719,263.269,-0.0001719,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.0001475343482779792,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,2.4365651722020793e-05
2022-04-29 15:07:49,1252.9686,-1.463,263.267,-0.0001463,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00014926848696201486,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,2.9684869620148497e-06
2022-04-29 15:07:53,995.2686,-1.705,263.271,-0.0001705,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.0001508718006975981,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,1.962819930240189e-05
2022-04-29 15:07:57,790.5701,-1.539,263.278,-0.0001539,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015231819264083162,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,1.5818073591683816e-06
2022-04-29 15:08:01,627.9723,-1.479,263.269,-0.0001479,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015357394571701092,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,5.6739457170109264e-06
2022-04-29 15:08:05,498.8163,-1.379,263.272,-0.0001379,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015459777643635664,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,1.669777643635665e-05
2022-04-29 15:08:09,396.2239,-1.854,263.275,-0.0001854,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015534143718415634,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,3.005856281584367e-05
2022-04-29 15:08:13,314.7319,-1.294,263.27,-0.0001294,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015575134755629048,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,2.6351347556290475e-05
2022-04-29 15:08:17,250.0005,-1.487,263.276,-0.0001487,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015577186518119307,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,7.07186518119306e-06
2022-04-29 15:08:21,198.5825,-1.441,263.284,-0.0001441,1,10,20.0,-11.0,-12.0,3.5,3.0,КТ117№1 п1(база 2),-0.00015535076783462505,0.060698781728493134,-2.8039672074103876,0.001570481383337806,-0.0001558143241699148,1.125076783462504e-05
