time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name,dlts_pf_model,p_coef_model,time_constant_power_model,time_constant_model,amplitude_model,rmse_model
2022-05-05 14:36:50,2500.0,-1.416,283.167,-0.002832,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0025707532767284473,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,0.0002612467232715526
2022-05-05 14:36:54,1985.8207,-1.521,283.16,-0.003042,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0030342175570451397,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,7.782442954860306e-06
2022-05-05 14:36:58,1577.3937,-1.749,283.145,-0.003498,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0035552882054130305,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,5.7288205413030726e-05
2022-05-05 14:37:01,1252.9686,-2.039,283.146,-0.004078,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.004136115335462599,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,5.811533546259875e-05
2022-05-05 14:37:05,995.2686,-2.373,283.15,-0.004746,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.004775914404438859,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,2.9914404438858948e-05
2022-05-05 14:37:09,790.5701,-2.742,283.142,-0.005484,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.005469450907094569,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,1.454909290543073e-05
2022-05-05 14:37:13,627.9723,-3.11,283.141,-0.00622,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.00620514996653462,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,1.4850033465380053e-05
2022-05-05 14:37:17,498.8163,-3.501,283.144,-0.0070019999999999,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.006962950605828329,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,3.9049394171570585e-05
2022-05-05 14:37:21,396.2239,-3.869,283.143,-0.007738,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.0077122167862491015,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,2.5783213750898634e-05
2022-05-05 14:37:25,314.7319,-4.198,283.147,-0.008396,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.008410314582862769,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,1.4314582862768113e-05
2022-05-05 14:37:29,250.0005,-4.477,283.137,-0.008954,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.009002860773888175,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,4.8860773888175293e-05
2022-05-05 14:37:33,198.5825,-4.68,283.138,-0.00936,1,200,20.0,-2.0,-5.0,3.5,3.0,КТ117№1 п1(база 2),-0.009426940684111481,0.6990829926743648,-2.537373572272259,0.0029015257406624995,-0.009624021829246598,6.694068411148071e-05
