time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name,dlts_pf_model,p_coef_model,time_constant_power_model,time_constant_model,amplitude_model,rmse_model
2022-05-05 12:00:01,2500.0,-2.635,283.119,-0.0013174999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0011773982177133244,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,0.00014010178228657548
2022-05-05 12:00:05,1985.8207,-2.829,283.129,-0.0014145,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0013516127977421027,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,6.288720225789725e-05
2022-05-05 12:00:09,1577.3937,-3.163,283.132,-0.0015815,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0015407979630909017,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,4.070203690909827e-05
2022-05-05 12:00:13,1252.9686,-3.5,283.128,-0.00175,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0017440615550332675,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,5.938444966732551e-06
2022-05-05 12:00:17,995.2686,-3.864,283.138,-0.001932,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.001959197852377065,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,2.7197852377065053e-05
2022-05-05 12:00:21,790.5701,-4.239,283.135,-0.0021195,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0021822311098640104,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,6.273110986401058e-05
2022-05-05 12:00:25,627.9723,-4.766,283.149,-0.002383,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0024069174483031795,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,2.3917448303179337e-05
2022-05-05 12:00:29,498.8163,-5.218,283.126,-0.0026089999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0026242899853135626,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.528998531366262e-05
2022-05-05 12:00:33,396.2239,-5.603,283.123,-0.0028014999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0028223985802599168,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,2.0898580260016782e-05
2022-05-05 12:00:37,314.7319,-5.877,283.134,-0.0029384999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.002986477599860229,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,4.7977599860329206e-05
2022-05-05 12:00:41,250.0005,-6.177,283.129,-0.0030884999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.003099847729830408,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.1347729830508187e-05
2022-05-05 12:00:45,198.5825,-6.326,283.126,-0.003163,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0031458372426151947,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.71627573848053e-05
2022-05-05 12:00:49,157.7397,-6.17,283.128,-0.003085,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.003110821750987663,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,2.5821750987662772e-05
2022-05-05 12:00:53,125.2971,-5.945,283.14,-0.0029725,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.002988013098322124,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.55130983221243e-05
2022-05-05 12:00:57,99.5271,-5.583,283.139,-0.0027915,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0027809233453907787,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.0576654609221418e-05
2022-05-05 12:01:00,79.0571,-5.126,283.131,-0.002563,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.002504804356779257,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,5.8195643220743196e-05
2022-05-05 12:01:04,62.7973,-4.527,283.132,-0.0022635,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0021845204042126973,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,7.89795957873026e-05
2022-05-05 12:01:08,49.8817,-3.841,283.133,-0.0019205,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.001848713695934213,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,7.178630406578699e-05
2022-05-05 12:01:12,39.6224,-3.069,283.123,-0.0015345,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0015225588976972482,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,1.1941102302751895e-05
2022-05-05 12:01:16,31.4732,-2.429,283.131,-0.0012144999999999,1,50,20.0,-7.0,-10.0,3.5,3.0,КТ117№1 п1(база 2),-0.0012227760142194848,0.5953990221169014,-2.648672477715931,0.0022455747809404553,-0.0031461642832637197,8.276014219584914e-06
