time,frequency_hz,dlts_v,temperature_k,dlts_pf,bs,ls,f_pulse,u1,ur,time_between_meas,integral_time,specimen_name,dlts_pf_model,p_coef_model,time_constant_power_model,time_constant_model,amplitude_model,rmse_model
2022-05-11 15:43:05,2500.0,-6.989,303.497,-0.0034944999999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.003347105308884572,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,0.00014739469111532807
2022-05-11 15:43:09,1985.8207,-7.1,303.488,-0.0035499999999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0035664800428674066,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,1.648004286750656e-05
2022-05-11 15:43:13,1577.3937,-7.34,303.49,-0.00367,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.003721749485485607,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,5.1749485485606816e-05
2022-05-11 15:43:17,1252.9686,-7.404,303.496,-0.003702,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0037943576701855337,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,9.235767018553375e-05
2022-05-11 15:43:21,995.2686,-7.455,303.502,-0.0037275,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.003769178004119117,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,4.167800411911723e-05
2022-05-11 15:43:25,790.5701,-7.232,303.494,-0.003616,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0036387543834942144,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,2.2754383494214513e-05
2022-05-11 15:43:29,627.9723,-6.813,303.499,-0.0034065,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.003407194701272133,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.947012721331136e-07
2022-05-11 15:43:33,498.8163,-6.266,303.497,-0.003133,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0030918610431419956,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,4.1138956858004314e-05
2022-05-11 15:43:37,396.2239,-5.601,303.5,-0.0028005,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0027210960167471064,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,7.940398325289363e-05
2022-05-11 15:43:41,314.7319,-4.779,303.506,-0.0023895,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0023277818649971123,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.171813500288788e-05
2022-05-11 15:43:44,250.0005,-3.932,303.491,-0.001966,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0019411562431052598,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,2.4843756894740113e-05
2022-05-11 15:43:48,198.5825,-3.15,303.498,-0.001575,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.00158102608634523,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.026086345229916e-06
2022-05-11 15:43:52,157.7397,-2.471,303.494,-0.0012355,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.001257107068182555,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,2.1607068182554964e-05
2022-05-11 15:43:56,125.2971,-1.826,303.494,-0.000913,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0009724253256163869,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,5.942532561638693e-05
2022-05-11 15:44:00,99.5271,-1.337,303.495,-0.0006684999999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0007272941453401401,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,5.8794145340240094e-05
2022-05-11 15:44:04,79.0571,-0.8603,303.485,-0.0004301499999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0005214787553180656,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,9.13287553181656e-05
2022-05-11 15:44:08,62.7973,-0.6325,303.501,-0.0003162499999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.0003545725950739099,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,3.83225950740099e-05
2022-05-11 15:44:12,49.8817,-0.4688,303.493,-0.0002344,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.00022549961265760698,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,8.900387342393023e-06
2022-05-11 15:44:16,39.6224,-0.3741,303.495,-0.00018705,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-0.00013183789791591582,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,5.521210208408417e-05
2022-05-11 15:44:20,31.4732,-0.2638,303.492,-0.0001318999999999,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-6.933129244481112e-05,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.256870755508887e-05
2022-05-11 15:44:24,25.0001,-0.2087,303.501,-0.00010435,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-3.190817753543914e-05,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,7.244182246456086e-05
2022-05-11 15:44:28,19.8582,-0.1456,303.497,-7.280000000000001e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-1.2415035030474019e-05,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.038496496952599e-05
2022-05-11 15:44:32,15.774,-0.0563,303.495,-2.815e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-3.9103515982004e-06,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,2.42396484017996e-05
2022-05-11 15:44:36,12.5297,-0.1219,303.484,-6.095e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-9.438505403221522e-07,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,6.0006149459677844e-05
2022-05-11 15:44:40,9.9527,-0.1074,303.486,-5.37e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-1.6297191703324186e-07,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,5.353702808296676e-05
2022-05-11 15:44:44,7.9057,-0.0383,303.488,-1.915e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-1.8456873612402657e-08,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,1.9131543126387598e-05
2022-05-11 15:44:48,6.2797,-0.0388,303.486,-1.94e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-1.2291619718827394e-09,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,1.939877083802812e-05
2022-05-11 15:44:52,4.9882,-0.0636,303.493,-3.18e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-4.196349516080921e-11,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,3.179995803650484e-05
2022-05-11 15:44:56,3.9622,-0.1877,303.496,-9.385e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-6.172683064716226e-13,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,9.38499993827317e-05
2022-05-11 15:45:00,3.1473,-0.1828,303.497,-9.14e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-3.1489828000949525e-15,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,9.139999999685102e-05
2022-05-11 15:45:03,2.5,-0.0589,303.489,-2.945e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-4.2334621775732676e-18,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,2.944999999999577e-05
2022-05-11 15:45:07,1.9858,0.031,303.493,1.55e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-1.061284553927855e-21,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,1.55e-05
2022-05-11 15:45:11,1.5774,-0.0333,303.492,-1.665e-05,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-3.2170985910128976e-26,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,1.665e-05
2022-05-11 15:45:15,1.253,-0.2028,303.493,-0.0001014,1,50,20.0,-5.0,-7.0,3.5,3.0,КТ117№1 п1(база 2),-6.820118132406761e-32,0.5542085103838943,-3.4539861372916265,0.0003515716625397422,-0.0037976894285189976,0.0001014
