time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:38:12    44.1973;  -9.85843;  263.292;
14:38:16    44.1965;  -9.86238;  263.288;
14:38:19    44.1963;  -9.86337;  263.287;
14:38:22    44.1962;  -9.86416;  263.286;
14:38:26    44.1958;  -9.86626;  263.284;
14:38:29    44.1949;  -9.87135;  263.279;
14:38:33    44.196;  -9.86527;  263.285;
14:38:36    44.1941;  -9.87591;  263.274;
14:38:39    44.1937;  -9.87755;  263.272;
14:38:43    44.1977;  -9.85603;  263.294;
14:38:46    44.1961;  -9.86484;  263.285;
14:38:50    44.1961;  -9.86486;  263.285;
14:38:53    44.1958;  -9.86648;  263.284;
14:38:57    44.195;  -9.87081;  263.279;
14:39:00    44.1959;  -9.86561;  263.284;
14:39:03    44.1955;  -9.8679;  263.282;
14:39:07    44.1961;  -9.8649;  263.285;
14:39:10    44.1958;  -9.86619;  263.284;
14:39:14    44.1941;  -9.87562;  263.274;
14:39:17    44.1956;  -9.86728;  263.283;
14:39:21    44.197;  -9.85997;  263.29;
14:39:24    44.195;  -9.87099;  263.279;
14:39:27    44.1949;  -9.87134;  263.279;
14:39:31    44.1958;  -9.86655;  263.283;
14:39:34    44.1941;  -9.87561;  263.274;
14:39:38    44.1962;  -9.86427;  263.286;
14:39:41    44.1949;  -9.87134;  263.279;
14:39:44    44.1961;  -9.86453;  263.285;
14:39:48    44.195;  -9.87084;  263.279;
14:39:51    44.1945;  -9.87354;  263.276;
14:39:55    44.1959;  -9.86604;  263.284;
14:39:58    44.1953;  -9.86935;  263.281;
14:40:02    44.1931;  -9.88083;  263.269;
14:40:05    44.1957;  -9.86713;  263.283;
14:40:08    44.1959;  -9.8656;  263.284;
14:40:12    44.1944;  -9.87386;  263.276;
14:40:15    44.1948;  -9.87171;  263.278;
14:40:19    44.1935;  -9.87915;  263.271;
14:40:22    44.1958;  -9.8664;  263.284;
14:40:25    44.1935;  -9.8789;  263.271;
14:40:29    44.1936;  -9.87816;  263.272;
14:40:32    44.1933;  -9.88005;  263.27;
14:40:36    44.1967;  -9.86152;  263.288;
14:40:39    44.1945;  -9.8735;  263.277;
14:40:43    44.1943;  -9.87474;  263.275;
14:40:46    44.1947;  -9.87214;  263.278;
14:40:49    44.1956;  -9.8677;  263.282;
14:40:53    44.1949;  -9.87107;  263.279;
14:40:56    44.1957;  -9.86713;  263.283;
