time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:08:19    44.1755;  -9.97723;  263.173;
14:08:23    44.1771;  -9.96862;  263.181;
14:08:26    44.1763;  -9.97293;  263.177;
14:08:29    44.176;  -9.97447;  263.176;
14:08:33    44.1756;  -9.9767;  263.173;
14:08:36    44.1752;  -9.97902;  263.171;
14:08:40    44.1736;  -9.98747;  263.163;
14:08:43    44.1759;  -9.97529;  263.175;
14:08:46    44.1751;  -9.9795;  263.17;
14:08:50    44.1739;  -9.98586;  263.164;
14:08:53    44.1762;  -9.97349;  263.177;
14:08:57    44.1753;  -9.97822;  263.172;
14:09:00    44.1755;  -9.97721;  263.173;
14:09:03    44.1751;  -9.97931;  263.171;
14:09:07    44.1756;  -9.97643;  263.174;
14:09:10    44.1747;  -9.98142;  263.169;
14:09:14    44.1754;  -9.97798;  263.172;
14:09:17    44.1735;  -9.98837;  263.162;
14:09:21    44.1764;  -9.97222;  263.178;
14:09:24    44.1759;  -9.97479;  263.175;
14:09:27    44.1732;  -9.9896;  263.16;
14:09:31    44.1745;  -9.98244;  263.168;
14:09:34    44.1733;  -9.98914;  263.161;
14:09:38    44.1737;  -9.98677;  263.163;
14:09:41    44.1766;  -9.97114;  263.179;
14:09:45    44.1732;  -9.9898;  263.16;
14:09:48    44.1746;  -9.98195;  263.168;
14:09:51    44.1763;  -9.97311;  263.177;
14:09:55    44.1738;  -9.98643;  263.164;
14:09:58    44.1737;  -9.98731;  263.163;
14:10:02    44.1736;  -9.98761;  263.162;
14:10:05    44.174;  -9.98551;  263.164;
14:10:08    44.1741;  -9.98506;  263.165;
14:10:12    44.1756;  -9.97656;  263.173;
14:10:15    44.1739;  -9.98597;  263.164;
14:10:19    44.1745;  -9.98247;  263.168;
14:10:22    44.1734;  -9.98886;  263.161;
14:10:26    44.1748;  -9.98121;  263.169;
14:10:29    44.1745;  -9.98241;  263.168;
14:10:32    44.1743;  -9.98399;  263.166;
14:10:36    44.175;  -9.97998;  263.17;
14:10:39    44.1725;  -9.99348;  263.157;
14:10:43    44.1734;  -9.98858;  263.161;
14:10:46    44.1739;  -9.98571;  263.164;
14:10:49    44.1738;  -9.98667;  263.163;
14:10:53    44.1726;  -9.99296;  263.157;
14:10:56    44.174;  -9.98566;  263.164;
14:11:00    44.1728;  -9.99189;  263.158;
