time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:41:30    44.1826;  -9.9382;  263.212;
15:41:34    44.183;  -9.93637;  263.214;
15:41:37    44.1831;  -9.93598;  263.214;
15:41:41    44.183;  -9.93649;  263.214;
15:41:44    44.1832;  -9.93525;  263.215;
15:41:47    44.1826;  -9.93848;  263.212;
15:41:51    44.1828;  -9.93743;  263.213;
15:41:54    44.1836;  -9.93305;  263.217;
15:41:58    44.1812;  -9.94609;  263.204;
15:42:01    44.1821;  -9.94111;  263.209;
15:42:05    44.1827;  -9.93816;  263.212;
15:42:08    44.1831;  -9.93558;  263.214;
15:42:11    44.1834;  -9.93396;  263.216;
15:42:15    44.183;  -9.93647;  263.214;
15:42:18    44.1821;  -9.94119;  263.209;
15:42:22    44.1839;  -9.93114;  263.219;
15:42:25    44.1832;  -9.93523;  263.215;
15:42:28    44.1822;  -9.94053;  263.209;
15:42:32    44.1818;  -9.94303;  263.207;
15:42:35    44.1828;  -9.93719;  263.213;
15:42:39    44.1825;  -9.93873;  263.211;
15:42:42    44.1812;  -9.9459;  263.204;
15:42:46    44.1829;  -9.93655;  263.213;
15:42:49    44.1829;  -9.93686;  263.213;
15:42:52    44.1823;  -9.94011;  263.21;
15:42:56    44.1827;  -9.93786;  263.212;
15:42:59    44.1818;  -9.94301;  263.207;
15:43:03    44.1834;  -9.93393;  263.216;
15:43:06    44.1832;  -9.93538;  263.215;
15:43:10    44.1851;  -9.92458;  263.225;
15:43:13    44.1822;  -9.94072;  263.209;
15:43:16    44.1813;  -9.9458;  263.204;
15:43:20    44.1833;  -9.93439;  263.216;
15:43:23    44.1808;  -9.94839;  263.202;
15:43:27    44.1836;  -9.93284;  263.217;
15:43:30    44.1834;  -9.93419;  263.216;
15:43:34    44.1824;  -9.93963;  263.21;
15:43:37    44.1826;  -9.93824;  263.212;
15:43:40    44.1845;  -9.92807;  263.222;
15:43:44    44.1825;  -9.93899;  263.211;
15:43:47    44.1854;  -9.92335;  263.227;
15:43:51    44.1836;  -9.93295;  263.217;
15:43:54    44.182;  -9.94157;  263.208;
15:43:57    44.1822;  -9.94088;  263.209;
