time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:18:20    44.1856;  -9.92198;  263.228;
13:18:23    44.1858;  -9.92114;  263.229;
13:18:26    44.1867;  -9.91626;  263.234;
13:18:30    44.1821;  -9.94094;  263.209;
13:18:33    44.1845;  -9.9282;  263.222;
13:18:37    44.1836;  -9.93317;  263.217;
13:18:40    44.1858;  -9.92093;  263.229;
13:18:44    44.1847;  -9.92686;  263.223;
13:18:47    44.1848;  -9.92632;  263.224;
13:18:50    44.1855;  -9.92248;  263.228;
13:18:54    44.1865;  -9.91702;  263.233;
13:18:57    44.1842;  -9.92956;  263.22;
13:19:01    44.1832;  -9.93499;  263.215;
13:19:04    44.1855;  -9.92273;  263.227;
13:19:08    44.1833;  -9.93466;  263.215;
13:19:11    44.1834;  -9.93397;  263.216;
13:19:15    44.1832;  -9.93496;  263.215;
13:19:18    44.1838;  -9.9321;  263.218;
13:19:21    44.1836;  -9.93312;  263.217;
13:19:25    44.1839;  -9.93152;  263.218;
13:19:28    44.1848;  -9.9263;  263.224;
13:19:32    44.1838;  -9.93184;  263.218;
13:19:35    44.1829;  -9.93674;  263.213;
13:19:38    44.1834;  -9.9342;  263.216;
13:19:42    44.184;  -9.93106;  263.219;
13:19:45    44.184;  -9.93106;  263.219;
13:19:49    44.1838;  -9.93207;  263.218;
13:19:52    44.1825;  -9.93901;  263.211;
13:19:56    44.182;  -9.94172;  263.208;
13:19:59    44.1832;  -9.93509;  263.215;
13:20:02    44.1827;  -9.93771;  263.212;
13:20:06    44.1836;  -9.93299;  263.217;
13:20:09    44.1828;  -9.93709;  263.213;
13:20:13    44.1834;  -9.934;  263.216;
13:20:16    44.1828;  -9.93743;  263.213;
13:20:19    44.1841;  -9.9305;  263.22;
13:20:23    44.1833;  -9.93436;  263.216;
13:20:26    44.1845;  -9.92833;  263.222;
13:20:30    44.184;  -9.931;  263.219;
13:20:33    44.1847;  -9.92708;  263.223;
13:20:37    44.1859;  -9.92057;  263.229;
13:20:40    44.1831;  -9.93572;  263.214;
13:20:44    44.1833;  -9.93459;  263.215;
13:20:47    44.1845;  -9.9283;  263.222;
13:20:50    44.1841;  -9.93047;  263.22;
13:20:54    44.1832;  -9.93526;  263.215;
13:20:57    44.1838;  -9.93214;  263.218;
13:21:01    44.1824;  -9.93959;  263.21;
13:21:04    44.1822;  -9.94072;  263.209;
13:21:07    44.1844;  -9.92861;  263.221;
13:21:11    44.1828;  -9.93727;  263.213;
