time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:57:59    47.818;  9.97232;  283.122;
15:58:02    47.8172;  9.96766;  283.118;
15:58:06    47.8193;  9.97916;  283.129;
15:58:09    47.8167;  9.96498;  283.115;
15:58:13    47.8152;  9.95693;  283.107;
15:58:16    47.8186;  9.97565;  283.126;
15:58:19    47.8169;  9.96625;  283.116;
15:58:23    47.8182;  9.97329;  283.123;
15:58:26    47.8175;  9.96955;  283.12;
15:58:30    47.8188;  9.97657;  283.127;
15:58:33    47.8197;  9.98149;  283.131;
15:58:36    47.8167;  9.96519;  283.115;
15:58:40    47.8165;  9.96427;  283.114;
15:58:43    47.8172;  9.96763;  283.118;
15:58:47    47.8169;  9.96596;  283.116;
15:58:50    47.8172;  9.96803;  283.118;
15:58:54    47.8172;  9.96768;  283.118;
15:58:57    47.8173;  9.96843;  283.118;
15:59:00    47.8154;  9.95774;  283.108;
15:59:04    47.8193;  9.97924;  283.129;
15:59:07    47.8178;  9.97121;  283.121;
15:59:11    47.8182;  9.97355;  283.124;
15:59:14    47.8174;  9.96883;  283.119;
15:59:17    47.8164;  9.96326;  283.113;
15:59:21    47.8157;  9.95967;  283.11;
15:59:24    47.8187;  9.9762;  283.126;
15:59:28    47.816;  9.96115;  283.111;
15:59:31    47.8165;  9.964;  283.114;
15:59:35    47.818;  9.97205;  283.122;
15:59:38    47.818;  9.97199;  283.122;
15:59:42    47.8187;  9.97631;  283.126;
15:59:45    47.8174;  9.96877;  283.119;
15:59:48    47.8151;  9.95655;  283.107;
15:59:52    47.8178;  9.97136;  283.121;
15:59:55    47.8179;  9.97173;  283.122;
15:59:59    47.8182;  9.97316;  283.123;
16:00:02    47.8178;  9.97139;  283.121;
16:00:05    47.8184;  9.97419;  283.124;
16:00:09    47.8179;  9.97177;  283.122;
16:00:12    47.8175;  9.96935;  283.119;
16:00:16    47.8169;  9.96642;  283.116;
16:00:19    47.8152;  9.95686;  283.107;
16:00:23    47.8184;  9.97458;  283.125;
16:00:26    47.8162;  9.96229;  283.112;
16:00:30    47.8173;  9.96838;  283.118;
