time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:00:12    44.1795;  -9.95515;  263.195;
14:00:16    44.1784;  -9.96154;  263.188;
14:00:19    44.1803;  -9.95106;  263.199;
14:00:22    44.1788;  -9.95893;  263.191;
14:00:26    44.1783;  -9.96165;  263.188;
14:00:29    44.1779;  -9.96406;  263.186;
14:00:32    44.176;  -9.97449;  263.176;
14:00:36    44.1777;  -9.96509;  263.185;
14:00:39    44.1762;  -9.97352;  263.176;
14:00:43    44.1782;  -9.96257;  263.187;
14:00:46    44.1772;  -9.96812;  263.182;
14:00:49    44.1773;  -9.96764;  263.182;
14:00:53    44.1787;  -9.95964;  263.19;
14:00:56    44.1776;  -9.9658;  263.184;
14:01:00    44.1771;  -9.96828;  263.182;
14:01:03    44.1794;  -9.95577;  263.194;
14:01:06    44.1773;  -9.96718;  263.183;
14:01:10    44.1788;  -9.95908;  263.191;
14:01:13    44.1775;  -9.96643;  263.184;
14:01:17    44.176;  -9.97446;  263.176;
14:01:20    44.1786;  -9.96013;  263.19;
14:01:24    44.1765;  -9.97153;  263.178;
14:01:27    44.1763;  -9.97293;  263.177;
14:01:31    44.1771;  -9.96855;  263.181;
14:01:34    44.1777;  -9.96519;  263.185;
14:01:37    44.1769;  -9.96952;  263.18;
14:01:41    44.1777;  -9.96523;  263.185;
14:01:44    44.1764;  -9.97228;  263.178;
14:01:48    44.1767;  -9.9708;  263.179;
14:01:51    44.1777;  -9.96539;  263.185;
14:01:55    44.1778;  -9.96479;  263.185;
14:01:58    44.1792;  -9.95705;  263.193;
14:02:01    44.1772;  -9.9677;  263.182;
14:02:05    44.1762;  -9.97315;  263.177;
14:02:08    44.178;  -9.96331;  263.187;
14:02:12    44.1787;  -9.95952;  263.19;
14:02:15    44.1761;  -9.97417;  263.176;
14:02:19    44.176;  -9.97462;  263.175;
14:02:22    44.1771;  -9.96873;  263.181;
14:02:26    44.1765;  -9.9717;  263.178;
14:02:29    44.1765;  -9.97199;  263.178;
14:02:32    44.1766;  -9.97096;  263.179;
14:02:36    44.1769;  -9.96961;  263.18;
14:02:39    44.1759;  -9.97528;  263.175;
14:02:43    44.1772;  -9.96766;  263.182;
