time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:00:40    44.1946;  -9.87299;  263.277;
14:00:44    44.1961;  -9.86455;  263.285;
14:00:47    44.192;  -9.88684;  263.263;
14:00:51    44.1924;  -9.88502;  263.265;
14:00:54    44.1935;  -9.87883;  263.271;
14:00:57    44.1927;  -9.88311;  263.267;
14:01:01    44.193;  -9.88192;  263.268;
14:01:04    44.1947;  -9.87239;  263.278;
14:01:08    44.1907;  -9.89429;  263.256;
14:01:11    44.1927;  -9.88317;  263.267;
14:01:15    44.1933;  -9.87979;  263.27;
14:01:18    44.1938;  -9.87712;  263.273;
14:01:21    44.1919;  -9.88781;  263.262;
14:01:25    44.1907;  -9.89412;  263.256;
14:01:28    44.1901;  -9.89765;  263.252;
14:01:32    44.1896;  -9.90006;  263.25;
14:01:35    44.1917;  -9.88863;  263.261;
14:01:39    44.1897;  -9.89965;  263.25;
14:01:42    44.1907;  -9.89402;  263.256;
14:01:45    44.192;  -9.88726;  263.263;
14:01:49    44.1907;  -9.89396;  263.256;
14:01:52    44.19;  -9.89816;  263.252;
14:01:56    44.189;  -9.90344;  263.247;
14:01:59    44.1919;  -9.88782;  263.262;
14:02:02    44.1906;  -9.89496;  263.255;
14:02:06    44.1903;  -9.89614;  263.254;
14:02:09    44.1904;  -9.89587;  263.254;
14:02:13    44.1908;  -9.8939;  263.256;
14:02:16    44.1905;  -9.89522;  263.255;
14:02:19    44.1911;  -9.8922;  263.258;
14:02:23    44.1902;  -9.89688;  263.253;
14:02:26    44.1898;  -9.89885;  263.251;
14:02:30    44.1898;  -9.89926;  263.251;
14:02:33    44.1906;  -9.89486;  263.255;
14:02:37    44.191;  -9.89248;  263.258;
14:02:40    44.1908;  -9.89367;  263.256;
14:02:43    44.1908;  -9.89361;  263.256;
14:02:47    44.1906;  -9.89449;  263.256;
14:02:50    44.1898;  -9.89896;  263.251;
14:02:54    44.1877;  -9.91074;  263.239;
14:02:57    44.191;  -9.89262;  263.257;
14:03:01    44.19;  -9.89814;  263.252;
14:03:04    44.19;  -9.89809;  263.252;
14:03:07    44.1938;  -9.87724;  263.273;
14:03:11    44.1928;  -9.88248;  263.268;
14:03:14    44.1926;  -9.88385;  263.266;
14:03:17    44.1927;  -9.88328;  263.267;
14:03:21    44.1922;  -9.88584;  263.264;
14:03:24    44.1941;  -9.8758;  263.274;
14:03:28    44.1921;  -9.88631;  263.264;
14:03:31    44.1956;  -9.8677;  263.282;
14:03:35    44.1957;  -9.86715;  263.283;
14:03:38    44.193;  -9.88151;  263.268;
14:03:41    44.1928;  -9.88257;  263.267;
14:03:45    44.1925;  -9.88459;  263.265;
14:03:48    44.1925;  -9.88423;  263.266;
14:03:52    44.1935;  -9.87899;  263.271;
14:03:55    44.193;  -9.88175;  263.268;
14:03:59    44.1927;  -9.88303;  263.267;
14:04:02    44.1931;  -9.88107;  263.269;
