time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:47:41    44.172;  -9.9962;  263.154;
14:47:45    44.1727;  -9.99249;  263.158;
14:47:48    44.1729;  -9.99152;  263.158;
14:47:52    44.1726;  -9.993;  263.157;
14:47:55    44.1729;  -9.99145;  263.159;
14:47:59    44.171;  -10.0019;  263.148;
14:48:02    44.1736;  -9.98767;  263.162;
14:48:05    44.1739;  -9.9859;  263.164;
14:48:09    44.1726;  -9.99319;  263.157;
14:48:13    44.1731;  -9.99034;  263.16;
14:48:16    44.1728;  -9.99172;  263.158;
14:48:19    44.1717;  -9.99797;  263.152;
14:48:23    44.1718;  -9.99758;  263.152;
14:48:26    44.1733;  -9.98906;  263.161;
14:48:30    44.1729;  -9.99141;  263.159;
14:48:33    44.1724;  -9.99411;  263.156;
14:48:36    44.1696;  -10.0095;  263.141;
14:48:40    44.1731;  -9.99029;  263.16;
14:48:43    44.1719;  -9.99697;  263.153;
14:48:47    44.1731;  -9.99051;  263.159;
14:48:50    44.1733;  -9.989;  263.161;
14:48:54    44.1742;  -9.98407;  263.166;
14:48:57    44.171;  -10.0015;  263.148;
14:49:00    44.1733;  -9.98942;  263.161;
14:49:04    44.1724;  -9.99419;  263.156;
14:49:07    44.1741;  -9.98464;  263.165;
14:49:11    44.1735;  -9.988;  263.162;
14:49:14    44.1719;  -9.99714;  263.153;
14:49:17    44.1734;  -9.9886;  263.161;
14:49:21    44.1732;  -9.98973;  263.16;
14:49:24    44.1725;  -9.99332;  263.157;
14:49:28    44.1721;  -9.99563;  263.154;
14:49:31    44.1734;  -9.98866;  263.161;
14:49:34    44.1736;  -9.9875;  263.163;
14:49:38    44.1726;  -9.99286;  263.157;
14:49:42    44.1731;  -9.99016;  263.16;
14:49:45    44.172;  -9.99658;  263.153;
14:49:48    44.1724;  -9.99411;  263.156;
14:49:52    44.1727;  -9.99262;  263.157;
14:49:55    44.1715;  -9.99887;  263.151;
14:49:59    44.1721;  -9.99578;  263.154;
14:50:02    44.1719;  -9.99694;  263.153;
14:50:05    44.172;  -9.99643;  263.154;
14:50:09    44.172;  -9.99606;  263.154;
14:50:12    44.1711;  -10.0014;  263.149;
14:50:16    44.1741;  -9.98471;  263.165;
14:50:19    44.1726;  -9.99302;  263.157;
14:50:22    44.1734;  -9.98889;  263.161;
14:50:26    44.1723;  -9.99478;  263.155;
