time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:15:55    44.1928;  -9.88248;  263.268;
14:15:59    44.1945;  -9.87359;  263.276;
14:16:02    44.193;  -9.88181;  263.268;
14:16:06    44.1935;  -9.87911;  263.271;
14:16:09    44.1937;  -9.8776;  263.272;
14:16:12    44.1938;  -9.87712;  263.273;
14:16:16    44.1924;  -9.88503;  263.265;
14:16:19    44.1924;  -9.88489;  263.265;
14:16:23    44.1924;  -9.88515;  263.265;
14:16:26    44.1933;  -9.88017;  263.27;
14:16:30    44.1922;  -9.88624;  263.264;
14:16:33    44.1934;  -9.8792;  263.271;
14:16:36    44.1939;  -9.87661;  263.273;
14:16:40    44.1935;  -9.87904;  263.271;
14:16:43    44.1922;  -9.88607;  263.264;
14:16:47    44.1919;  -9.88753;  263.262;
14:16:50    44.1939;  -9.87664;  263.273;
14:16:53    44.193;  -9.88178;  263.268;
14:16:57    44.1912;  -9.89147;  263.259;
14:17:00    44.1907;  -9.89433;  263.256;
14:17:04    44.1917;  -9.88901;  263.261;
14:17:07    44.1925;  -9.88435;  263.266;
14:17:11    44.1914;  -9.89035;  263.26;
14:17:14    44.1928;  -9.88266;  263.267;
14:17:17    44.1924;  -9.885;  263.265;
14:17:21    44.1921;  -9.8865;  263.264;
14:17:24    44.1915;  -9.89009;  263.26;
14:17:28    44.1918;  -9.88838;  263.262;
14:17:31    44.1903;  -9.89655;  263.253;
14:17:35    44.1926;  -9.88369;  263.266;
14:17:38    44.1909;  -9.89312;  263.257;
14:17:41    44.1908;  -9.89371;  263.256;
14:17:45    44.1906;  -9.89461;  263.255;
14:17:48    44.1903;  -9.89642;  263.254;
14:17:52    44.1932;  -9.88065;  263.269;
14:17:55    44.1911;  -9.89222;  263.258;
14:17:59    44.1912;  -9.89152;  263.258;
14:18:02    44.192;  -9.88732;  263.263;
14:18:06    44.1926;  -9.88368;  263.266;
14:18:09    44.193;  -9.88143;  263.269;
14:18:12    44.1923;  -9.88547;  263.265;
14:18:16    44.1909;  -9.89315;  263.257;
14:18:19    44.1914;  -9.89034;  263.26;
14:18:23    44.1912;  -9.89147;  263.259;
14:18:26    44.1912;  -9.89164;  263.258;
14:18:29    44.1921;  -9.88657;  263.263;
14:18:33    44.1911;  -9.8919;  263.258;
