time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:51:11    51.5136;  30.3349;  303.485;
12:51:15    51.5136;  30.3345;  303.485;
12:51:18    51.5116;  30.3234;  303.473;
12:51:21    51.5124;  30.3279;  303.478;
12:51:25    51.5141;  30.3376;  303.488;
12:51:28    51.5129;  30.331;  303.481;
12:51:32    51.5119;  30.3252;  303.475;
12:51:35    51.5122;  30.3268;  303.477;
12:51:39    51.512;  30.326;  303.476;
12:51:42    51.511;  30.3201;  303.47;
12:51:45    51.5116;  30.3239;  303.474;
12:51:49    51.512;  30.3256;  303.476;
12:51:52    51.5121;  30.3264;  303.476;
12:51:56    51.5123;  30.3273;  303.477;
12:51:59    51.5119;  30.3255;  303.475;
12:52:03    51.5121;  30.3261;  303.476;
12:52:06    51.5124;  30.3282;  303.478;
12:52:09    51.5138;  30.3357;  303.486;
12:52:13    51.5116;  30.3236;  303.474;
12:52:16    51.5112;  30.3212;  303.471;
12:52:20    51.5117;  30.324;  303.474;
12:52:23    51.5131;  30.3321;  303.482;
12:52:26    51.5117;  30.3242;  303.474;
12:52:30    51.5108;  30.319;  303.469;
12:52:33    51.5105;  30.3176;  303.468;
12:52:37    51.511;  30.3205;  303.471;
12:52:40    51.512;  30.3256;  303.476;
12:52:44    51.5127;  30.3298;  303.48;
12:52:47    51.5103;  30.3164;  303.466;
12:52:50    51.5131;  30.3321;  303.482;
12:52:54    51.5113;  30.3218;  303.472;
12:52:57    51.5113;  30.3218;  303.472;
12:53:01    51.5107;  30.3184;  303.468;
12:53:04    51.512;  30.326;  303.476;
12:53:08    51.5109;  30.32;  303.47;
12:53:11    51.5116;  30.3237;  303.474;
12:53:14    51.5117;  30.3244;  303.474;
12:53:18    51.5119;  30.3251;  303.475;
12:53:21    51.5112;  30.3214;  303.471;
12:53:25    51.5129;  30.3308;  303.481;
12:53:28    51.5118;  30.3245;  303.475;
12:53:31    51.5111;  30.321;  303.471;
12:53:35    51.5118;  30.325;  303.475;
12:53:38    51.51;  30.3149;  303.465;
