time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:37:43    44.1711;  -10.0013;  263.149;
14:37:46    44.1722;  -9.99543;  263.155;
14:37:50    44.1713;  -10.0002;  263.15;
14:37:53    44.1723;  -9.99454;  263.155;
14:37:57    44.171;  -10.0021;  263.148;
14:38:00    44.1701;  -10.0069;  263.143;
14:38:04    44.1691;  -10.0123;  263.138;
14:38:07    44.1712;  -10.0008;  263.149;
14:38:10    44.1701;  -10.0068;  263.143;
14:38:14    44.1691;  -10.012;  263.138;
14:38:17    44.1696;  -10.0093;  263.141;
14:38:21    44.171;  -10.0016;  263.148;
14:38:24    44.1703;  -10.0055;  263.144;
14:38:27    44.1687;  -10.0144;  263.136;
14:38:31    44.1708;  -10.0028;  263.147;
14:38:34    44.1708;  -10.0029;  263.147;
14:38:38    44.1705;  -10.0046;  263.145;
14:38:41    44.1701;  -10.0065;  263.143;
14:38:45    44.1709;  -10.0023;  263.148;
14:38:48    44.1714;  -9.99947;  263.151;
14:38:51    44.1714;  -9.99949;  263.151;
14:38:55    44.1712;  -10.0006;  263.149;
14:38:58    44.1716;  -9.99865;  263.151;
14:39:02    44.1697;  -10.0091;  263.141;
14:39:05    44.1715;  -9.9988;  263.151;
14:39:09    44.172;  -9.99608;  263.154;
14:39:12    44.1692;  -10.0114;  263.139;
14:39:15    44.1697;  -10.0088;  263.141;
14:39:19    44.1727;  -9.99225;  263.158;
14:39:22    44.1723;  -9.99484;  263.155;
14:39:26    44.1702;  -10.0064;  263.144;
14:39:29    44.1717;  -9.9981;  263.152;
14:39:32    44.1684;  -10.0162;  263.134;
14:39:36    44.1701;  -10.0069;  263.143;
14:39:39    44.1699;  -10.0078;  263.142;
14:39:43    44.1704;  -10.005;  263.145;
14:39:46    44.1704;  -10.0051;  263.145;
14:39:49    44.1713;  -10.0003;  263.15;
14:39:53    44.1709;  -10.0023;  263.148;
14:39:56    44.1705;  -10.0048;  263.145;
14:40:00    44.1711;  -10.0012;  263.149;
14:40:03    44.1709;  -10.0022;  263.148;
14:40:07    44.1713;  -10.0002;  263.15;
14:40:10    44.1713;  -10.0001;  263.15;
14:40:14    44.1702;  -10.0059;  263.144;
14:40:17    44.1686;  -10.015;  263.135;
