time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:51:27    44.1949;  -9.87131;  263.279;
14:51:30    44.1933;  -9.88004;  263.27;
14:51:33    44.1914;  -9.89049;  263.26;
14:51:37    44.1922;  -9.88612;  263.264;
14:51:40    44.1921;  -9.8866;  263.263;
14:51:44    44.1945;  -9.87368;  263.276;
14:51:47    44.1928;  -9.88285;  263.267;
14:51:50    44.1919;  -9.88791;  263.262;
14:51:54    44.1954;  -9.86842;  263.282;
14:51:57    44.1961;  -9.86484;  263.285;
14:52:01    44.196;  -9.86548;  263.285;
14:52:04    44.1938;  -9.87706;  263.273;
14:52:08    44.1947;  -9.87256;  263.277;
14:52:11    44.1943;  -9.87473;  263.275;
14:52:14    44.1951;  -9.87037;  263.28;
14:52:18    44.1951;  -9.87023;  263.28;
14:52:21    44.1944;  -9.87376;  263.276;
14:52:25    44.1964;  -9.86295;  263.287;
14:52:28    44.1976;  -9.8565;  263.294;
14:52:31    44.1951;  -9.86996;  263.28;
14:52:35    44.1943;  -9.87457;  263.275;
14:52:38    44.1965;  -9.86274;  263.287;
14:52:42    44.1969;  -9.86057;  263.289;
14:52:45    44.1958;  -9.86624;  263.284;
14:52:49    44.1943;  -9.87467;  263.275;
14:52:52    44.196;  -9.86504;  263.285;
14:52:55    44.1943;  -9.87448;  263.276;
14:52:59    44.1966;  -9.86214;  263.288;
14:53:02    44.1941;  -9.8756;  263.274;
14:53:06    44.196;  -9.86502;  263.285;
14:53:09    44.1945;  -9.87348;  263.277;
14:53:13    44.1941;  -9.87555;  263.274;
14:53:16    44.1956;  -9.86761;  263.282;
14:53:19    44.1953;  -9.86912;  263.281;
14:53:23    44.1954;  -9.8684;  263.282;
14:53:26    44.195;  -9.87057;  263.279;
14:53:30    44.1942;  -9.87504;  263.275;
14:53:33    44.1957;  -9.86689;  263.283;
14:53:36    44.1961;  -9.86483;  263.285;
14:53:40    44.1955;  -9.86817;  263.282;
14:53:43    44.1977;  -9.8558;  263.294;
14:53:47    44.1942;  -9.87529;  263.275;
14:53:50    44.194;  -9.87635;  263.274;
14:53:53    44.1956;  -9.8676;  263.282;
14:53:57    44.197;  -9.85985;  263.29;
14:54:00    44.1947;  -9.87248;  263.278;
14:54:04    44.1962;  -9.86431;  263.286;
14:54:07    44.1938;  -9.87742;  263.273;
14:54:11    44.1956;  -9.86751;  263.282;
14:54:14    44.1954;  -9.86872;  263.281;
14:54:17    44.1959;  -9.86607;  263.284;
14:54:21    44.1934;  -9.87919;  263.271;
14:54:24    44.1949;  -9.87113;  263.279;
14:54:28    44.1963;  -9.86383;  263.286;
14:54:31    44.1945;  -9.87326;  263.277;
14:54:34    44.1958;  -9.86617;  263.284;
14:54:38    44.1956;  -9.86736;  263.283;
14:54:41    44.1943;  -9.87464;  263.275;
14:54:45    44.194;  -9.87629;  263.274;
14:54:48    44.1925;  -9.88422;  263.266;
14:54:52    44.1941;  -9.87555;  263.274;
14:54:55    44.1939;  -9.87654;  263.273;
14:54:58    44.1955;  -9.86793;  263.282;
14:55:02    44.1946;  -9.87303;  263.277;
