time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:29:00    47.8275;  10.0244;  283.174;
14:29:03    47.8281;  10.0278;  283.178;
14:29:06    47.8275;  10.0245;  283.174;
14:29:10    47.8259;  10.0155;  283.165;
14:29:13    47.827;  10.0217;  283.172;
14:29:17    47.827;  10.0217;  283.172;
14:29:20    47.8248;  10.0095;  283.159;
14:29:24    47.8257;  10.0148;  283.165;
14:29:27    47.8262;  10.0175;  283.167;
14:29:31    47.827;  10.0216;  283.172;
14:29:34    47.8284;  10.0296;  283.18;
14:29:37    47.8275;  10.0242;  283.174;
14:29:41    47.8273;  10.0235;  283.174;
14:29:44    47.8247;  10.0089;  283.159;
14:29:48    47.8262;  10.0172;  283.167;
14:29:51    47.8268;  10.0205;  283.17;
14:29:54    47.8262;  10.0175;  283.167;
14:29:58    47.827;  10.0218;  283.172;
14:30:01    47.8267;  10.0198;  283.17;
14:30:05    47.8258;  10.015;  283.165;
14:30:08    47.8249;  10.0102;  283.16;
14:30:12    47.828;  10.0272;  283.177;
14:30:15    47.8268;  10.0207;  283.171;
14:30:19    47.8253;  10.0123;  283.162;
14:30:22    47.8255;  10.0137;  283.164;
14:30:25    47.8257;  10.0147;  283.165;
14:30:29    47.8259;  10.0158;  283.166;
14:30:32    47.8251;  10.0111;  283.161;
14:30:36    47.8238;  10.0041;  283.154;
14:30:39    47.8244;  10.0076;  283.158;
14:30:42    47.8271;  10.0223;  283.172;
14:30:46    47.8265;  10.0192;  283.169;
14:30:49    47.8266;  10.0193;  283.169;
14:30:53    47.8277;  10.0254;  283.175;
14:30:56    47.825;  10.0106;  283.161;
14:31:00    47.8266;  10.0193;  283.169;
14:31:03    47.8256;  10.0143;  283.164;
14:31:06    47.8262;  10.0172;  283.167;
14:31:10    47.8252;  10.0119;  283.162;
14:31:13    47.8248;  10.0094;  283.159;
14:31:17    47.825;  10.011;  283.161;
14:31:20    47.8265;  10.0189;  283.169;
14:31:23    47.8257;  10.0147;  283.165;
14:31:27    47.8266;  10.0192;  283.169;
14:31:30    47.8267;  10.0199;  283.17;
14:31:34    47.8267;  10.0203;  283.17;
14:31:37    47.8253;  10.0126;  283.163;
14:31:41    47.827;  10.0215;  283.172;
14:31:44    47.8267;  10.0203;  283.17;
