time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:55:53    44.1931;  -9.88086;  263.269;
13:55:56    44.1926;  -9.88378;  263.266;
13:56:00    44.1933;  -9.88023;  263.27;
13:56:03    44.1926;  -9.884;  263.266;
13:56:07    44.1931;  -9.88122;  263.269;
13:56:10    44.1916;  -9.88914;  263.261;
13:56:13    44.1921;  -9.88636;  263.264;
13:56:17    44.1928;  -9.88276;  263.267;
13:56:20    44.1907;  -9.89421;  263.256;
13:56:24    44.1914;  -9.8902;  263.26;
13:56:27    44.1929;  -9.88207;  263.268;
13:56:30    44.1915;  -9.89009;  263.26;
13:56:34    44.192;  -9.88698;  263.263;
13:56:37    44.1932;  -9.88029;  263.27;
13:56:41    44.1919;  -9.88762;  263.262;
13:56:44    44.1948;  -9.87206;  263.278;
13:56:47    44.1913;  -9.89087;  263.259;
13:56:51    44.1903;  -9.89639;  263.254;
13:56:54    44.192;  -9.88738;  263.263;
13:56:58    44.1917;  -9.88888;  263.261;
13:57:01    44.1927;  -9.88308;  263.267;
13:57:05    44.1921;  -9.8864;  263.264;
13:57:08    44.1913;  -9.8907;  263.259;
13:57:12    44.1908;  -9.89383;  263.256;
13:57:15    44.1929;  -9.88209;  263.268;
13:57:18    44.1922;  -9.88579;  263.264;
13:57:22    44.1935;  -9.87866;  263.271;
13:57:25    44.1905;  -9.89556;  263.254;
13:57:29    44.1937;  -9.87772;  263.272;
13:57:32    44.1935;  -9.87896;  263.271;
13:57:35    44.1939;  -9.87653;  263.273;
13:57:39    44.193;  -9.88163;  263.268;
13:57:42    44.1932;  -9.88059;  263.269;
13:57:46    44.191;  -9.89265;  263.257;
13:57:49    44.1918;  -9.88813;  263.262;
13:57:53    44.1922;  -9.88599;  263.264;
13:57:56    44.1921;  -9.88662;  263.263;
13:57:59    44.1932;  -9.8804;  263.27;
13:58:03    44.1928;  -9.88272;  263.267;
13:58:06    44.192;  -9.88731;  263.263;
13:58:10    44.1916;  -9.88926;  263.261;
13:58:13    44.1917;  -9.889;  263.261;
13:58:16    44.192;  -9.88735;  263.263;
13:58:20    44.1895;  -9.90058;  263.249;
13:58:23    44.1891;  -9.90299;  263.247;
