time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:48:16    44.1831;  -9.93557;  263.214;
12:48:20    44.1811;  -9.9464;  263.204;
12:48:23    44.1816;  -9.94409;  263.206;
12:48:27    44.1834;  -9.93399;  263.216;
12:48:30    44.1822;  -9.94036;  263.21;
12:48:34    44.1807;  -9.94907;  263.201;
12:48:37    44.1827;  -9.93814;  263.212;
12:48:41    44.1829;  -9.9369;  263.213;
12:48:44    44.182;  -9.94169;  263.208;
12:48:47    44.1814;  -9.94477;  263.205;
12:48:51    44.1819;  -9.94208;  263.208;
12:48:54    44.1819;  -9.94213;  263.208;
12:48:58    44.1818;  -9.94282;  263.207;
12:49:01    44.1838;  -9.93183;  263.218;
12:49:04    44.1835;  -9.93375;  263.216;
12:49:08    44.1819;  -9.94226;  263.208;
12:49:11    44.1816;  -9.94416;  263.206;
12:49:15    44.1821;  -9.94141;  263.209;
12:49:18    44.181;  -9.9473;  263.203;
12:49:21    44.1826;  -9.93864;  263.211;
12:49:25    44.1826;  -9.93834;  263.212;
12:49:28    44.1816;  -9.94381;  263.206;
12:49:32    44.1807;  -9.94889;  263.201;
12:49:35    44.1813;  -9.94581;  263.204;
12:49:39    44.183;  -9.93608;  263.214;
12:49:42    44.1832;  -9.93526;  263.215;
12:49:45    44.1835;  -9.93351;  263.216;
12:49:49    44.1837;  -9.93239;  263.218;
12:49:52    44.1835;  -9.93336;  263.217;
12:49:56    44.1816;  -9.94367;  263.206;
12:49:59    44.1814;  -9.94478;  263.205;
12:50:02    44.1825;  -9.939;  263.211;
12:50:06    44.1822;  -9.94084;  263.209;
12:50:09    44.1827;  -9.93768;  263.212;
12:50:13    44.1816;  -9.94382;  263.206;
12:50:16    44.1835;  -9.93327;  263.217;
12:50:20    44.1808;  -9.94854;  263.201;
12:50:23    44.1824;  -9.93962;  263.21;
12:50:26    44.1824;  -9.93958;  263.21;
12:50:30    44.1805;  -9.94971;  263.2;
12:50:33    44.1829;  -9.93677;  263.213;
12:50:37    44.181;  -9.9474;  263.203;
12:50:40    44.181;  -9.947;  263.203;
12:50:44    44.1811;  -9.94685;  263.203;
12:50:47    44.1824;  -9.93946;  263.211;
12:50:50    44.1819;  -9.94209;  263.208;
12:50:54    44.1821;  -9.94102;  263.209;
