time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:43:57    44.177;  -9.96913;  263.181;
13:44:00    44.1784;  -9.96141;  263.189;
13:44:03    44.1792;  -9.95705;  263.193;
13:44:07    44.1795;  -9.95527;  263.195;
13:44:10    44.1792;  -9.95697;  263.193;
13:44:14    44.178;  -9.96348;  263.187;
13:44:17    44.1773;  -9.96751;  263.182;
13:44:21    44.1786;  -9.96026;  263.19;
13:44:24    44.1786;  -9.96047;  263.19;
13:44:28    44.1779;  -9.96402;  263.186;
13:44:31    44.178;  -9.96344;  263.187;
13:44:34    44.1782;  -9.96235;  263.188;
13:44:38    44.1799;  -9.95295;  263.197;
13:44:41    44.1773;  -9.9672;  263.183;
13:44:45    44.1774;  -9.96671;  263.183;
13:44:48    44.1778;  -9.9647;  263.185;
13:44:51    44.1757;  -9.97599;  263.174;
13:44:55    44.1783;  -9.96213;  263.188;
13:44:58    44.1772;  -9.96801;  263.182;
13:45:02    44.1794;  -9.95596;  263.194;
13:45:05    44.1771;  -9.96827;  263.182;
13:45:09    44.1784;  -9.96114;  263.189;
13:45:12    44.1792;  -9.95702;  263.193;
13:45:16    44.1779;  -9.96391;  263.186;
13:45:19    44.1766;  -9.97106;  263.179;
13:45:22    44.1766;  -9.9712;  263.179;
13:45:26    44.1773;  -9.96728;  263.183;
13:45:29    44.1769;  -9.96978;  263.18;
13:45:33    44.1772;  -9.96801;  263.182;
13:45:36    44.1774;  -9.96663;  263.183;
13:45:39    44.177;  -9.96917;  263.181;
13:45:43    44.1792;  -9.95703;  263.193;
13:45:46    44.1771;  -9.96854;  263.181;
13:45:50    44.1789;  -9.95864;  263.191;
13:45:53    44.1791;  -9.95731;  263.193;
13:45:57    44.1781;  -9.96279;  263.187;
13:46:00    44.1758;  -9.97551;  263.174;
13:46:03    44.1793;  -9.95673;  263.193;
13:46:07    44.1785;  -9.96078;  263.189;
13:46:10    44.1784;  -9.96136;  263.189;
13:46:14    44.1783;  -9.9617;  263.188;
13:46:17    44.178;  -9.96355;  263.186;
13:46:20    44.1791;  -9.95769;  263.192;
13:46:24    44.1766;  -9.97132;  263.179;
13:46:27    44.1791;  -9.95732;  263.193;
13:46:31    44.177;  -9.96921;  263.181;
13:46:34    44.1784;  -9.96128;  263.189;
13:46:38    44.1788;  -9.95918;  263.191;
13:46:41    44.1785;  -9.96088;  263.189;
13:46:45    44.176;  -9.97471;  263.175;
13:46:48    44.1761;  -9.97375;  263.176;
13:46:51    44.1785;  -9.96083;  263.189;
13:46:55    44.1784;  -9.96125;  263.189;
13:46:58    44.1776;  -9.96585;  263.184;
13:47:02    44.177;  -9.96895;  263.181;
