time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:07:54    44.1845;  -9.92823;  263.222;
13:07:58    44.1825;  -9.93918;  263.211;
13:08:01    44.1844;  -9.92861;  263.221;
13:08:04    44.1829;  -9.93682;  263.213;
13:08:08    44.1825;  -9.93903;  263.211;
13:08:11    44.1834;  -9.93397;  263.216;
13:08:15    44.1846;  -9.92741;  263.223;
13:08:18    44.1842;  -9.9295;  263.22;
13:08:22    44.186;  -9.91989;  263.23;
13:08:25    44.1838;  -9.93177;  263.218;
13:08:28    44.1836;  -9.93285;  263.217;
13:08:32    44.1826;  -9.93819;  263.212;
13:08:35    44.1835;  -9.93339;  263.217;
13:08:39    44.1821;  -9.94113;  263.209;
13:08:42    44.184;  -9.93061;  263.219;
13:08:45    44.1826;  -9.93824;  263.212;
13:08:49    44.1851;  -9.92452;  263.225;
13:08:52    44.182;  -9.94153;  263.208;
13:08:56    44.1846;  -9.92739;  263.223;
13:08:59    44.1825;  -9.93909;  263.211;
13:09:02    44.1832;  -9.93543;  263.215;
13:09:06    44.1835;  -9.93342;  263.217;
13:09:09    44.1841;  -9.93048;  263.22;
13:09:13    44.1833;  -9.93456;  263.215;
13:09:16    44.1836;  -9.93279;  263.217;
13:09:20    44.1852;  -9.92436;  263.226;
13:09:23    44.1849;  -9.9259;  263.224;
13:09:27    44.1831;  -9.93573;  263.214;
13:09:30    44.1826;  -9.93827;  263.212;
13:09:33    44.1834;  -9.93394;  263.216;
13:09:37    44.1826;  -9.93864;  263.211;
13:09:40    44.1818;  -9.94258;  263.207;
13:09:44    44.185;  -9.92518;  263.225;
13:09:47    44.18;  -9.95264;  263.197;
13:09:50    44.1789;  -9.9588;  263.191;
13:09:54    44.179;  -9.95808;  263.192;
13:09:57    44.1784;  -9.96139;  263.189;
13:10:01    44.1798;  -9.95387;  263.196;
13:10:04    44.1814;  -9.94512;  263.205;
13:10:08    44.1806;  -9.94957;  263.2;
13:10:11    44.1802;  -9.95159;  263.198;
13:10:14    44.1782;  -9.96249;  263.188;
13:10:18    44.1801;  -9.95194;  263.198;
13:10:21    44.18;  -9.95286;  263.197;
13:10:25    44.1782;  -9.96249;  263.188;
13:10:28    44.1788;  -9.95905;  263.191;
13:10:31    44.1806;  -9.94922;  263.201;
13:10:35    44.1809;  -9.94761;  263.202;
13:10:38    44.1793;  -9.95635;  263.194;
13:10:42    44.1793;  -9.95644;  263.194;
