time   Resistance(Ohm);  Temperature('C);  Temperature(K);
10:38:57    51.4859;  30.1818;  303.332;
10:39:01    51.4867;  30.1863;  303.336;
10:39:04    51.4854;  30.1789;  303.329;
10:39:07    51.486;  30.1822;  303.332;
10:39:11    51.4851;  30.1773;  303.327;
10:39:15    51.4867;  30.1863;  303.336;
10:39:19    51.4855;  30.1793;  303.329;
10:39:22    51.4841;  30.1719;  303.322;
10:39:26    51.4848;  30.1753;  303.325;
10:39:29    51.485;  30.1764;  303.326;
10:39:33    51.4844;  30.1734;  303.323;
10:39:36    51.4858;  30.1809;  303.331;
10:39:40    51.4838;  30.1699;  303.32;
10:39:43    51.4843;  30.1729;  303.323;
10:39:46    51.4836;  30.1688;  303.319;
10:39:50    51.4847;  30.175;  303.325;
10:39:53    51.4852;  30.1775;  303.327;
10:39:57    51.4859;  30.1813;  303.331;
10:40:00    51.485;  30.1768;  303.327;
10:40:03    51.4856;  30.1798;  303.33;
10:40:07    51.4852;  30.1775;  303.327;
10:40:10    51.484;  30.1709;  303.321;
10:40:14    51.4853;  30.178;  303.328;
10:40:17    51.4855;  30.1797;  303.33;
10:40:20    51.4837;  30.1696;  303.32;
10:40:24    51.4872;  30.1887;  303.339;
10:40:27    51.4847;  30.1749;  303.325;
10:40:31    51.4863;  30.184;  303.334;
10:40:34    51.4847;  30.1748;  303.325;
10:40:38    51.4866;  30.1856;  303.336;
10:40:41    51.4848;  30.1757;  303.326;
10:40:45    51.4841;  30.1716;  303.322;
10:40:48    51.485;  30.1767;  303.327;
10:40:51    51.4839;  30.1706;  303.321;
10:40:55    51.4856;  30.1799;  303.33;
10:40:58    51.486;  30.1821;  303.332;
10:41:02    51.4853;  30.1781;  303.328;
10:41:05    51.487;  30.1876;  303.338;
10:41:09    51.4857;  30.1802;  303.33;
10:41:12    51.4844;  30.1734;  303.323;
10:41:16    51.4848;  30.1757;  303.326;
10:41:19    51.4868;  30.1868;  303.337;
10:41:22    51.4843;  30.1728;  303.323;
10:41:26    51.4866;  30.1857;  303.336;
10:41:29    51.4861;  30.1827;  303.333;
10:41:33    51.4851;  30.1774;  303.327;
10:41:36    51.4863;  30.184;  303.334;
10:41:40    51.4841;  30.1719;  303.322;
10:41:43    51.4861;  30.1827;  303.333;
