time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:17:37    44.1927;  -9.88331;  263.267;
13:17:41    44.1929;  -9.88213;  263.268;
13:17:44    44.1912;  -9.89169;  263.258;
13:17:47    44.1905;  -9.89506;  263.255;
13:17:51    44.192;  -9.88695;  263.263;
13:17:54    44.1919;  -9.88758;  263.262;
13:17:58    44.1943;  -9.87475;  263.275;
13:18:01    44.1924;  -9.88496;  263.265;
13:18:04    44.1916;  -9.88925;  263.261;
13:18:08    44.1922;  -9.88583;  263.264;
13:18:11    44.1917;  -9.88884;  263.261;
13:18:15    44.1936;  -9.87825;  263.272;
13:18:18    44.19;  -9.89796;  263.252;
13:18:21    44.1914;  -9.89026;  263.26;
13:18:25    44.192;  -9.88729;  263.263;
13:18:28    44.1921;  -9.88668;  263.263;
13:18:32    44.1912;  -9.89132;  263.259;
13:18:35    44.1908;  -9.89349;  263.257;
13:18:39    44.1924;  -9.88486;  263.265;
13:18:42    44.1911;  -9.89223;  263.258;
13:18:45    44.1931;  -9.88135;  263.269;
13:18:49    44.1919;  -9.88766;  263.262;
13:18:52    44.1923;  -9.88533;  263.265;
13:18:56    44.1927;  -9.88309;  263.267;
13:18:59    44.1927;  -9.88338;  263.267;
13:19:03    44.1915;  -9.88961;  263.26;
13:19:06    44.1907;  -9.89431;  263.256;
13:19:09    44.1931;  -9.8811;  263.269;
13:19:13    44.1913;  -9.89101;  263.259;
13:19:16    44.1905;  -9.89519;  263.255;
13:19:20    44.1921;  -9.88629;  263.264;
13:19:23    44.1903;  -9.89631;  263.254;
13:19:26    44.1918;  -9.88793;  263.262;
13:19:30    44.192;  -9.88717;  263.263;
13:19:33    44.1913;  -9.89118;  263.259;
13:19:37    44.193;  -9.88173;  263.268;
13:19:40    44.1914;  -9.89015;  263.26;
13:19:43    44.1912;  -9.89155;  263.258;
13:19:47    44.1919;  -9.88758;  263.262;
13:19:50    44.191;  -9.89275;  263.257;
13:19:54    44.1922;  -9.88627;  263.264;
13:19:57    44.1931;  -9.88098;  263.269;
13:20:01    44.1912;  -9.89157;  263.258;
13:20:04    44.1916;  -9.88916;  263.261;
13:20:07    44.1915;  -9.88972;  263.26;
13:20:11    44.191;  -9.89248;  263.258;
13:20:14    44.1916;  -9.88912;  263.261;
13:20:18    44.1922;  -9.88602;  263.264;
13:20:21    44.1932;  -9.8805;  263.269;
13:20:25    44.1931;  -9.88098;  263.269;
13:20:28    44.1921;  -9.88674;  263.263;
13:20:31    44.1902;  -9.89703;  263.253;
