time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:43:25    44.197;  -9.85987;  263.29;
14:43:29    44.1973;  -9.85793;  263.292;
14:43:32    44.195;  -9.87072;  263.279;
14:43:35    44.1937;  -9.87803;  263.272;
14:43:39    44.1934;  -9.87946;  263.271;
14:43:42    44.1935;  -9.87902;  263.271;
14:43:46    44.1914;  -9.8902;  263.26;
14:43:49    44.1915;  -9.89008;  263.26;
14:43:52    44.192;  -9.88685;  263.263;
14:43:56    44.1928;  -9.88289;  263.267;
14:43:59    44.1936;  -9.8783;  263.272;
14:44:03    44.1925;  -9.88461;  263.265;
14:44:06    44.1915;  -9.88985;  263.26;
14:44:10    44.1934;  -9.87942;  263.271;
14:44:13    44.1912;  -9.89125;  263.259;
14:44:17    44.1922;  -9.88604;  263.264;
14:44:20    44.1936;  -9.87843;  263.272;
14:44:23    44.1924;  -9.88492;  263.265;
14:44:27    44.1941;  -9.87587;  263.274;
14:44:30    44.1914;  -9.89044;  263.26;
14:44:34    44.191;  -9.89278;  263.257;
14:44:37    44.1901;  -9.89726;  263.253;
14:44:40    44.1928;  -9.88261;  263.267;
14:44:44    44.1921;  -9.88634;  263.264;
14:44:47    44.1921;  -9.88678;  263.263;
14:44:51    44.193;  -9.88176;  263.268;
14:44:54    44.1915;  -9.89;  263.26;
14:44:57    44.1939;  -9.87689;  263.273;
14:45:01    44.1907;  -9.89429;  263.256;
14:45:04    44.1915;  -9.89007;  263.26;
14:45:08    44.1935;  -9.87904;  263.271;
14:45:11    44.1916;  -9.88924;  263.261;
14:45:15    44.1923;  -9.88571;  263.264;
14:45:18    44.1911;  -9.89222;  263.258;
14:45:21    44.1917;  -9.88867;  263.261;
14:45:25    44.193;  -9.88183;  263.268;
14:45:28    44.1916;  -9.88945;  263.261;
14:45:32    44.1936;  -9.87833;  263.272;
14:45:35    44.1913;  -9.89072;  263.259;
14:45:38    44.1926;  -9.88357;  263.266;
14:45:42    44.193;  -9.88147;  263.269;
14:45:45    44.1917;  -9.88853;  263.261;
14:45:49    44.1914;  -9.89026;  263.26;
14:45:52    44.1927;  -9.88314;  263.267;
14:45:56    44.1911;  -9.89216;  263.258;
14:45:59    44.193;  -9.88162;  263.268;
14:46:03    44.1936;  -9.87844;  263.272;
14:46:06    44.1931;  -9.88108;  263.269;
14:46:09    44.1918;  -9.88796;  263.262;
14:46:13    44.1933;  -9.88016;  263.27;
14:46:16    44.1915;  -9.89005;  263.26;
14:46:20    44.1915;  -9.8897;  263.26;
14:46:23    44.1918;  -9.88827;  263.262;
14:46:26    44.1921;  -9.88663;  263.263;
14:46:30    44.1908;  -9.8935;  263.256;
14:46:33    44.1936;  -9.8781;  263.272;
14:46:37    44.1912;  -9.8915;  263.259;
14:46:40    44.1919;  -9.88749;  263.263;
14:46:44    44.1923;  -9.88529;  263.265;
