time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:22:04    44.1926;  -9.88361;  263.266;
13:22:07    44.1935;  -9.87918;  263.271;
13:22:11    44.1918;  -9.88827;  263.262;
13:22:14    44.1913;  -9.89088;  263.259;
13:22:18    44.1899;  -9.8987;  263.251;
13:22:21    44.1917;  -9.88872;  263.261;
13:22:24    44.1936;  -9.87833;  263.272;
13:22:28    44.1941;  -9.87584;  263.274;
13:22:31    44.1929;  -9.88221;  263.268;
13:22:35    44.1907;  -9.89434;  263.256;
13:22:38    44.1918;  -9.88839;  263.262;
13:22:42    44.192;  -9.88689;  263.263;
13:22:45    44.1923;  -9.88545;  263.265;
13:22:48    44.191;  -9.89255;  263.257;
13:22:52    44.1906;  -9.89494;  263.255;
13:22:55    44.1917;  -9.88872;  263.261;
13:22:59    44.1918;  -9.88795;  263.262;
13:23:02    44.1919;  -9.88792;  263.262;
13:23:05    44.1916;  -9.88946;  263.261;
13:23:09    44.1892;  -9.90245;  263.248;
13:23:12    44.1922;  -9.88587;  263.264;
13:23:16    44.1923;  -9.8857;  263.264;
13:23:19    44.1916;  -9.88937;  263.261;
13:23:23    44.1926;  -9.88406;  263.266;
13:23:26    44.1905;  -9.89525;  263.255;
13:23:30    44.1902;  -9.89715;  263.253;
13:23:33    44.1912;  -9.8913;  263.259;
13:23:36    44.1924;  -9.88469;  263.265;
13:23:40    44.1917;  -9.88855;  263.261;
13:23:43    44.1917;  -9.88867;  263.261;
13:23:47    44.1902;  -9.89674;  263.253;
13:23:50    44.1925;  -9.88461;  263.265;
13:23:53    44.1933;  -9.88008;  263.27;
13:23:57    44.1916;  -9.88941;  263.261;
13:24:00    44.1903;  -9.89626;  263.254;
13:24:04    44.1909;  -9.89309;  263.257;
13:24:07    44.1908;  -9.89387;  263.256;
13:24:11    44.1906;  -9.89474;  263.255;
13:24:14    44.1916;  -9.88926;  263.261;
13:24:17    44.1898;  -9.89887;  263.251;
13:24:21    44.1913;  -9.89074;  263.259;
13:24:24    44.1904;  -9.89587;  263.254;
13:24:27    44.1902;  -9.89705;  263.253;
13:24:31    44.1912;  -9.89121;  263.259;
13:24:34    44.1915;  -9.88957;  263.26;
13:24:38    44.189;  -9.90335;  263.247;
13:24:41    44.1919;  -9.88758;  263.262;
13:24:44    44.1893;  -9.90183;  263.248;
13:24:48    44.19;  -9.89778;  263.252;
13:24:51    44.1899;  -9.89838;  263.252;
13:24:55    44.1917;  -9.88871;  263.261;
13:24:58    44.1907;  -9.894;  263.256;
13:25:02    44.1898;  -9.89934;  263.251;
13:25:05    44.1901;  -9.89737;  263.253;
13:25:08    44.1893;  -9.90197;  263.248;
13:25:12    44.192;  -9.88692;  263.263;
13:25:15    44.1908;  -9.89388;  263.256;
13:25:19    44.1901;  -9.89725;  263.253;
13:25:22    44.1897;  -9.89981;  263.25;
13:25:25    44.1882;  -9.90777;  263.242;
13:25:29    44.1911;  -9.8921;  263.258;
13:25:32    44.1902;  -9.89684;  263.253;
13:25:36    44.1905;  -9.89532;  263.255;
13:25:39    44.1917;  -9.88884;  263.261;
13:25:43    44.1889;  -9.90428;  263.246;
13:25:46    44.1901;  -9.89733;  263.253;
13:25:50    44.1912;  -9.89145;  263.259;
13:25:53    44.1897;  -9.89985;  263.25;
13:25:56    44.1909;  -9.89295;  263.257;
13:26:00    44.1899;  -9.89882;  263.251;
13:26:03    44.1921;  -9.88677;  263.263;
13:26:07    44.1883;  -9.90732;  263.243;
13:26:10    44.1896;  -9.90034;  263.25;
13:26:13    44.1908;  -9.89381;  263.256;
13:26:17    44.19;  -9.89824;  263.252;
13:26:20    44.1906;  -9.89482;  263.255;
13:26:24    44.1941;  -9.87583;  263.274;
13:26:27    44.1906;  -9.89491;  263.255;
13:26:30    44.1912;  -9.89121;  263.259;
13:26:34    44.1894;  -9.90135;  263.249;
13:26:37    44.1911;  -9.89202;  263.258;
13:26:41    44.1916;  -9.88938;  263.261;
13:26:44    44.1896;  -9.90039;  263.25;
13:26:48    44.1897;  -9.89971;  263.25;
13:26:51    44.1895;  -9.9007;  263.249;
13:26:54    44.1918;  -9.88821;  263.262;
13:26:58    44.1916;  -9.88932;  263.261;
13:27:01    44.191;  -9.89255;  263.257;
13:27:05    44.1925;  -9.88417;  263.266;
