time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:29:23    47.8243;  10.0069;  283.157;
12:29:27    47.8241;  10.0057;  283.156;
12:29:30    47.824;  10.0051;  283.155;
12:29:34    47.8241;  10.0059;  283.156;
12:29:37    47.8243;  10.0069;  283.157;
12:29:40    47.8244;  10.0074;  283.157;
12:29:44    47.8247;  10.0092;  283.159;
12:29:47    47.8225;  9.99721;  283.147;
12:29:51    47.8233;  10.0014;  283.151;
12:29:54    47.8234;  10.0017;  283.152;
12:29:57    47.8242;  10.0065;  283.156;
12:30:01    47.8262;  10.0173;  283.167;
12:30:04    47.822;  9.99413;  283.144;
12:30:08    47.8228;  9.99852;  283.149;
12:30:11    47.8238;  10.0042;  283.154;
12:30:15    47.823;  9.99966;  283.15;
12:30:18    47.824;  10.0051;  283.155;
12:30:21    47.8226;  9.99736;  283.147;
12:30:25    47.8218;  9.99298;  283.143;
12:30:28    47.8224;  9.99659;  283.147;
12:30:32    47.8241;  10.0058;  283.156;
12:30:35    47.8246;  10.0085;  283.158;
12:30:38    47.8231;  10.0001;  283.15;
12:30:42    47.8235;  10.0025;  283.152;
12:30:45    47.8225;  9.99679;  283.147;
12:30:49    47.825;  10.0108;  283.161;
12:30:52    47.824;  10.0052;  283.155;
12:30:56    47.8227;  9.99829;  283.148;
12:30:59    47.8221;  9.99476;  283.145;
12:31:02    47.8231;  10.0001;  283.15;
12:31:06    47.8215;  9.99143;  283.141;
12:31:09    47.8236;  10.0031;  283.153;
12:31:13    47.8222;  9.99543;  283.145;
12:31:16    47.8233;  10.0012;  283.151;
12:31:20    47.8229;  9.99941;  283.149;
12:31:23    47.8232;  10.0006;  283.151;
12:31:26    47.8218;  9.99337;  283.143;
12:31:30    47.8224;  9.99657;  283.147;
12:31:33    47.8243;  10.007;  283.157;
12:31:37    47.8216;  9.99204;  283.142;
12:31:40    47.8227;  9.99819;  283.148;
12:31:43    47.8218;  9.99312;  283.143;
12:31:47    47.8227;  9.99824;  283.148;
12:31:50    47.824;  10.0053;  283.155;
12:31:54    47.824;  10.0054;  283.155;
12:31:57    47.8218;  9.99302;  283.143;
12:32:01    47.8236;  10.0029;  283.153;
