time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:01:24    44.1954;  -9.86881;  263.281;
12:01:27    44.1939;  -9.87683;  263.273;
12:01:31    44.1949;  -9.87154;  263.278;
12:01:34    44.1925;  -9.8846;  263.265;
12:01:38    44.1922;  -9.88594;  263.264;
12:01:41    44.193;  -9.88171;  263.268;
12:01:44    44.1928;  -9.88247;  263.268;
12:01:48    44.1942;  -9.87518;  263.275;
12:01:51    44.1907;  -9.89402;  263.256;
12:01:55    44.1944;  -9.87403;  263.276;
12:01:58    44.1938;  -9.87713;  263.273;
12:02:02    44.1932;  -9.88043;  263.27;
12:02:05    44.1946;  -9.87285;  263.277;
12:02:08    44.1932;  -9.88072;  263.269;
12:02:12    44.192;  -9.88686;  263.263;
12:02:15    44.1927;  -9.88305;  263.267;
12:02:19    44.1926;  -9.8837;  263.266;
12:02:22    44.1913;  -9.89074;  263.259;
12:02:25    44.1921;  -9.88644;  263.264;
12:02:29    44.1937;  -9.87785;  263.272;
12:02:32    44.1918;  -9.88823;  263.262;
12:02:36    44.1921;  -9.88653;  263.263;
12:02:39    44.1931;  -9.88132;  263.269;
12:02:42    44.1921;  -9.88629;  263.264;
12:02:46    44.1917;  -9.88878;  263.261;
12:02:49    44.1923;  -9.88544;  263.265;
12:02:53    44.1931;  -9.88125;  263.269;
12:02:56    44.1931;  -9.88091;  263.269;
12:03:00    44.192;  -9.88709;  263.263;
12:03:03    44.193;  -9.88191;  263.268;
12:03:07    44.1917;  -9.88849;  263.262;
12:03:10    44.1928;  -9.88268;  263.267;
12:03:13    44.1922;  -9.88617;  263.264;
12:03:17    44.1917;  -9.88852;  263.261;
12:03:20    44.1931;  -9.88123;  263.269;
12:03:24    44.1945;  -9.87348;  263.277;
12:03:27    44.1935;  -9.87892;  263.271;
12:03:30    44.196;  -9.8653;  263.285;
12:03:34    44.1937;  -9.87759;  263.272;
12:03:37    44.1924;  -9.88485;  263.265;
12:03:41    44.1945;  -9.87359;  263.276;
12:03:44    44.194;  -9.87634;  263.274;
12:03:48    44.1928;  -9.88252;  263.267;
12:03:51    44.192;  -9.88716;  263.263;
12:03:54    44.1923;  -9.88572;  263.264;
12:03:58    44.1934;  -9.87966;  263.27;
