time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:34:01    51.5035;  30.2789;  303.429;
15:34:04    51.502;  30.2707;  303.421;
15:34:08    51.5029;  30.2758;  303.426;
15:34:11    51.5023;  30.2721;  303.422;
15:34:14    51.5025;  30.2732;  303.423;
15:34:18    51.5019;  30.27;  303.42;
15:34:21    51.5019;  30.2699;  303.42;
15:34:25    51.5046;  30.2851;  303.435;
15:34:28    51.5013;  30.2667;  303.417;
15:34:32    51.5012;  30.2659;  303.416;
15:34:35    51.5022;  30.2716;  303.422;
15:34:38    51.5011;  30.2655;  303.416;
15:34:42    51.5017;  30.2687;  303.419;
15:34:45    51.5027;  30.2743;  303.424;
15:34:49    51.5022;  30.2717;  303.422;
15:34:52    51.5013;  30.2669;  303.417;
15:34:56    51.5025;  30.2735;  303.423;
15:34:59    51.5032;  30.2775;  303.427;
15:35:02    51.5031;  30.2766;  303.427;
15:35:06    51.5013;  30.2668;  303.417;
15:35:09    51.5018;  30.2696;  303.42;
15:35:13    51.502;  30.2707;  303.421;
15:35:16    51.5021;  30.2714;  303.421;
15:35:20    51.5001;  30.2601;  303.41;
15:35:23    51.5005;  30.2622;  303.412;
15:35:26    51.5016;  30.2684;  303.418;
15:35:30    51.5009;  30.2643;  303.414;
15:35:33    51.5026;  30.2741;  303.424;
15:35:37    51.5007;  30.2632;  303.413;
15:35:40    51.5023;  30.2723;  303.422;
15:35:43    51.5004;  30.262;  303.412;
15:35:47    51.5007;  30.2633;  303.413;
15:35:50    51.5009;  30.2647;  303.415;
15:35:54    51.5016;  30.2685;  303.418;
15:35:57    51.5012;  30.2662;  303.416;
15:36:00    51.5037;  30.2798;  303.43;
15:36:04    51.5027;  30.2745;  303.425;
15:36:07    51.5003;  30.2609;  303.411;
15:36:11    51.5018;  30.2697;  303.42;
15:36:14    51.5017;  30.2689;  303.419;
15:36:18    51.5013;  30.2665;  303.416;
15:36:21    51.5032;  30.2773;  303.427;
15:36:24    51.5028;  30.2747;  303.425;
15:36:28    51.5006;  30.2628;  303.413;
15:36:31    51.5005;  30.262;  303.412;
15:36:35    51.5012;  30.2663;  303.416;
