time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:33:08    51.4951;  30.2323;  303.382;
11:33:12    51.4961;  30.2377;  303.388;
11:33:15    51.4955;  30.2346;  303.385;
11:33:19    51.4954;  30.2343;  303.384;
11:33:22    51.4962;  30.2387;  303.389;
11:33:25    51.4955;  30.2348;  303.385;
11:33:29    51.496;  30.2374;  303.387;
11:33:32    51.4957;  30.2355;  303.386;
11:33:35    51.4964;  30.2398;  303.39;
11:33:39    51.4948;  30.2305;  303.381;
11:33:42    51.4926;  30.2189;  303.369;
11:33:46    51.4944;  30.2288;  303.379;
11:33:49    51.492;  30.2151;  303.365;
11:33:53    51.494;  30.2262;  303.376;
11:33:56    51.494;  30.2265;  303.377;
11:34:00    51.4917;  30.2137;  303.364;
11:34:03    51.4948;  30.2306;  303.381;
11:34:06    51.4929;  30.2204;  303.37;
11:34:10    51.4939;  30.226;  303.376;
11:34:13    51.4928;  30.2195;  303.37;
11:34:17    51.4943;  30.2278;  303.378;
11:34:20    51.4937;  30.2249;  303.375;
11:34:23    51.4919;  30.2146;  303.365;
11:34:27    51.4932;  30.2221;  303.372;
11:34:30    51.4932;  30.2218;  303.372;
11:34:34    51.4924;  30.2174;  303.367;
11:34:37    51.4927;  30.2192;  303.369;
11:34:41    51.4936;  30.2242;  303.374;
11:34:44    51.4926;  30.2188;  303.369;
11:34:47    51.4941;  30.2267;  303.377;
11:34:51    51.4932;  30.2221;  303.372;
11:34:54    51.4933;  30.2227;  303.373;
11:34:58    51.493;  30.2209;  303.371;
11:35:01    51.4941;  30.2271;  303.377;
11:35:04    51.4932;  30.222;  303.372;
11:35:08    51.4926;  30.2188;  303.369;
11:35:11    51.4925;  30.2181;  303.368;
11:35:15    51.4922;  30.2166;  303.367;
11:35:18    51.4936;  30.2242;  303.374;
11:35:22    51.4925;  30.2178;  303.368;
11:35:25    51.4951;  30.2327;  303.383;
11:35:29    51.4927;  30.219;  303.369;
11:35:32    51.4928;  30.2195;  303.37;
11:35:35    51.492;  30.2152;  303.365;
11:35:39    51.4933;  30.2224;  303.372;
11:35:42    51.4914;  30.212;  303.362;
11:35:46    51.4934;  30.2231;  303.373;
11:35:49    51.4918;  30.2141;  303.364;
