time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:38:59    47.8186;  9.97529;  283.125;
15:39:02    47.8196;  9.98128;  283.131;
15:39:06    47.819;  9.97762;  283.128;
15:39:09    47.8167;  9.96537;  283.115;
15:39:12    47.8203;  9.98501;  283.135;
15:39:16    47.8192;  9.97889;  283.129;
15:39:19    47.8187;  9.97605;  283.126;
15:39:23    47.8167;  9.9652;  283.115;
15:39:26    47.8185;  9.9751;  283.125;
15:39:29    47.8183;  9.97364;  283.124;
15:39:33    47.8182;  9.97322;  283.123;
15:39:36    47.816;  9.96148;  283.111;
15:39:40    47.8191;  9.97817;  283.128;
15:39:43    47.8155;  9.95864;  283.109;
15:39:47    47.8168;  9.96565;  283.116;
15:39:50    47.8165;  9.96415;  283.114;
15:39:53    47.8178;  9.97138;  283.121;
15:39:57    47.817;  9.96659;  283.117;
15:40:00    47.8176;  9.97028;  283.12;
15:40:04    47.8182;  9.97348;  283.123;
15:40:07    47.8173;  9.96852;  283.119;
15:40:10    47.8172;  9.96778;  283.118;
15:40:14    47.8176;  9.97023;  283.12;
15:40:17    47.8167;  9.96517;  283.115;
15:40:21    47.8163;  9.96308;  283.113;
15:40:24    47.8171;  9.9675;  283.117;
15:40:28    47.8164;  9.96328;  283.113;
15:40:31    47.8182;  9.97319;  283.123;
15:40:34    47.8188;  9.97669;  283.127;
15:40:38    47.818;  9.97212;  283.122;
15:40:41    47.8164;  9.96346;  283.113;
15:40:45    47.8189;  9.97717;  283.127;
15:40:48    47.8177;  9.97032;  283.12;
15:40:52    47.8186;  9.97549;  283.125;
15:40:55    47.8171;  9.96708;  283.117;
15:40:58    47.8186;  9.97528;  283.125;
15:41:02    47.8156;  9.95895;  283.109;
15:41:05    47.8155;  9.95847;  283.108;
15:41:09    47.8151;  9.95637;  283.106;
15:41:12    47.8155;  9.95836;  283.108;
15:41:15    47.8157;  9.95987;  283.11;
15:41:19    47.814;  9.95044;  283.1;
15:41:22    47.8155;  9.9583;  283.108;
15:41:26    47.8139;  9.94997;  283.1;
15:41:29    47.8138;  9.94909;  283.099;
15:41:33    47.8163;  9.963;  283.113;
15:41:36    47.8143;  9.95213;  283.102;
15:41:39    47.8143;  9.95169;  283.102;
