time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:59:31    47.8192;  9.97888;  283.129;
11:59:34    47.821;  9.98896;  283.139;
11:59:38    47.8226;  9.99747;  283.147;
11:59:41    47.8219;  9.99365;  283.144;
11:59:45    47.8198;  9.98235;  283.132;
11:59:48    47.8183;  9.97372;  283.124;
11:59:52    47.8205;  9.98582;  283.136;
11:59:55    47.8199;  9.98241;  283.132;
11:59:58    47.8175;  9.96929;  283.119;
12:00:02    47.8193;  9.97913;  283.129;
12:00:05    47.8192;  9.97897;  283.129;
12:00:09    47.8197;  9.98181;  283.132;
12:00:12    47.8191;  9.97811;  283.128;
12:00:16    47.8208;  9.98753;  283.138;
12:00:19    47.8203;  9.985;  283.135;
12:00:22    47.8229;  9.9993;  283.149;
12:00:26    47.8201;  9.98383;  283.134;
12:00:29    47.8187;  9.97598;  283.126;
12:00:33    47.8182;  9.97325;  283.123;
12:00:36    47.8201;  9.98382;  283.134;
12:00:39    47.8192;  9.97887;  283.129;
12:00:43    47.8187;  9.97615;  283.126;
12:00:46    47.819;  9.97795;  283.128;
12:00:50    47.8207;  9.9868;  283.137;
12:00:53    47.8212;  9.98956;  283.14;
12:00:57    47.8211;  9.98928;  283.139;
12:01:00    47.8197;  9.9814;  283.131;
12:01:03    47.8199;  9.98241;  283.132;
12:01:07    47.82;  9.98328;  283.133;
12:01:10    47.8181;  9.97253;  283.123;
12:01:14    47.8196;  9.98078;  283.131;
12:01:17    47.8197;  9.98137;  283.131;
12:01:20    47.8201;  9.98369;  283.134;
12:01:24    47.8188;  9.97637;  283.126;
12:01:27    47.8213;  9.99023;  283.14;
12:01:31    47.8208;  9.9874;  283.137;
12:01:34    47.8203;  9.98476;  283.135;
12:01:37    47.8189;  9.97696;  283.127;
12:01:41    47.819;  9.97751;  283.128;
12:01:44    47.8207;  9.98731;  283.137;
12:01:48    47.8197;  9.98148;  283.131;
12:01:51    47.8203;  9.98484;  283.135;
12:01:54    47.8216;  9.99186;  283.142;
12:01:58    47.8209;  9.98835;  283.138;
12:02:01    47.8207;  9.98693;  283.137;
12:02:05    47.8182;  9.97353;  283.124;
12:02:08    47.8197;  9.98177;  283.132;
12:02:12    47.819;  9.97769;  283.128;
12:02:15    47.819;  9.97792;  283.128;
12:02:19    47.8197;  9.98141;  283.131;
