time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:13:43    44.193;  -9.88165;  263.268;
12:13:47    44.1963;  -9.86377;  263.286;
12:13:50    44.1923;  -9.88531;  263.265;
12:13:54    44.1925;  -9.88453;  263.265;
12:13:57    44.1933;  -9.87975;  263.27;
12:14:00    44.1926;  -9.88386;  263.266;
12:14:04    44.1927;  -9.88312;  263.267;
12:14:07    44.1908;  -9.89353;  263.256;
12:14:11    44.1934;  -9.87932;  263.271;
12:14:14    44.1911;  -9.89214;  263.258;
12:14:18    44.1932;  -9.88082;  263.269;
12:14:21    44.1913;  -9.8912;  263.259;
12:14:24    44.1919;  -9.88755;  263.262;
12:14:28    44.1926;  -9.88368;  263.266;
12:14:31    44.1913;  -9.89072;  263.259;
12:14:35    44.1913;  -9.89082;  263.259;
12:14:38    44.1949;  -9.87114;  263.279;
12:14:42    44.1921;  -9.88637;  263.264;
12:14:45    44.1905;  -9.89536;  263.255;
12:14:48    44.1911;  -9.89179;  263.258;
12:14:52    44.1906;  -9.89488;  263.255;
12:14:55    44.1915;  -9.88974;  263.26;
12:14:59    44.1926;  -9.88373;  263.266;
12:15:02    44.1915;  -9.88965;  263.26;
12:15:05    44.1919;  -9.88745;  263.263;
12:15:09    44.191;  -9.8923;  263.258;
12:15:12    44.1919;  -9.88749;  263.263;
12:15:16    44.1939;  -9.87648;  263.274;
12:15:19    44.1916;  -9.88904;  263.261;
12:15:22    44.1924;  -9.88503;  263.265;
12:15:26    44.1923;  -9.88545;  263.265;
12:15:29    44.1906;  -9.89483;  263.255;
12:15:33    44.1913;  -9.89104;  263.259;
12:15:36    44.191;  -9.89239;  263.258;
12:15:40    44.1925;  -9.88456;  263.265;
12:15:43    44.192;  -9.88705;  263.263;
12:15:46    44.192;  -9.88712;  263.263;
12:15:50    44.1903;  -9.8963;  263.254;
12:15:53    44.1903;  -9.8962;  263.254;
12:15:57    44.1905;  -9.89546;  263.255;
12:16:00    44.1934;  -9.87948;  263.271;
12:16:04    44.1903;  -9.89651;  263.253;
12:16:07    44.1927;  -9.88342;  263.267;
12:16:11    44.1925;  -9.88422;  263.266;
12:16:14    44.1934;  -9.87922;  263.271;
12:16:17    44.1914;  -9.89016;  263.26;
12:16:21    44.1911;  -9.89202;  263.258;
12:16:24    44.191;  -9.89261;  263.257;
