time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:51:08    44.1909;  -9.89326;  263.257;
13:51:12    44.1924;  -9.88486;  263.265;
13:51:15    44.1921;  -9.8867;  263.263;
13:51:18    44.1935;  -9.87902;  263.271;
13:51:22    44.1912;  -9.89159;  263.258;
13:51:25    44.1931;  -9.88108;  263.269;
13:51:29    44.1915;  -9.88996;  263.26;
13:51:32    44.1901;  -9.89729;  263.253;
13:51:35    44.1919;  -9.88749;  263.263;
13:51:39    44.1922;  -9.8862;  263.264;
13:51:42    44.1914;  -9.89038;  263.26;
13:51:46    44.1924;  -9.88476;  263.265;
13:51:49    44.1915;  -9.88961;  263.26;
13:51:52    44.1899;  -9.89852;  263.251;
13:51:56    44.193;  -9.88179;  263.268;
13:51:59    44.1911;  -9.89203;  263.258;
13:52:03    44.1911;  -9.89206;  263.258;
13:52:06    44.1918;  -9.88814;  263.262;
13:52:10    44.1917;  -9.88901;  263.261;
13:52:13    44.1918;  -9.88832;  263.262;
13:52:17    44.1907;  -9.89397;  263.256;
13:52:20    44.192;  -9.88697;  263.263;
13:52:23    44.1917;  -9.88877;  263.261;
13:52:27    44.1907;  -9.89423;  263.256;
13:52:30    44.1916;  -9.88954;  263.26;
13:52:34    44.1913;  -9.89085;  263.259;
13:52:37    44.1908;  -9.89393;  263.256;
13:52:40    44.1925;  -9.88463;  263.265;
13:52:44    44.1925;  -9.88447;  263.266;
13:52:47    44.1916;  -9.88943;  263.261;
13:52:51    44.1884;  -9.90655;  263.243;
13:52:54    44.1926;  -9.88374;  263.266;
13:52:58    44.192;  -9.88737;  263.263;
13:53:01    44.1925;  -9.88415;  263.266;
13:53:04    44.191;  -9.89234;  263.258;
13:53:08    44.1909;  -9.893;  263.257;
13:53:11    44.1912;  -9.89154;  263.258;
13:53:15    44.1912;  -9.89122;  263.259;
13:53:18    44.1899;  -9.89879;  263.251;
13:53:22    44.1909;  -9.89307;  263.257;
13:53:25    44.1905;  -9.89508;  263.255;
13:53:28    44.1925;  -9.88436;  263.266;
13:53:32    44.1928;  -9.88292;  263.267;
13:53:35    44.1914;  -9.89036;  263.26;
13:53:38    44.1921;  -9.88638;  263.264;
13:53:42    44.1916;  -9.88952;  263.26;
13:53:45    44.1908;  -9.89364;  263.256;
13:53:49    44.1933;  -9.88022;  263.27;
