time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:54:29    44.1766;  -9.97116;  263.179;
13:54:33    44.1777;  -9.96526;  263.185;
13:54:36    44.1772;  -9.96795;  263.182;
13:54:39    44.1782;  -9.96231;  263.188;
13:54:43    44.1775;  -9.96634;  263.184;
13:54:46    44.1781;  -9.96281;  263.187;
13:54:50    44.1765;  -9.97159;  263.178;
13:54:53    44.1761;  -9.97383;  263.176;
13:54:56    44.1776;  -9.96549;  263.185;
13:55:00    44.1783;  -9.96167;  263.188;
13:55:03    44.1787;  -9.95952;  263.19;
13:55:07    44.1786;  -9.96021;  263.19;
13:55:10    44.1773;  -9.96725;  263.183;
13:55:14    44.1784;  -9.96123;  263.189;
13:55:17    44.1762;  -9.97339;  263.177;
13:55:20    44.1771;  -9.96855;  263.181;
13:55:24    44.1769;  -9.9698;  263.18;
13:55:27    44.1758;  -9.97579;  263.174;
13:55:31    44.1782;  -9.96254;  263.187;
13:55:34    44.1768;  -9.97038;  263.18;
13:55:37    44.1749;  -9.98027;  263.17;
13:55:41    44.177;  -9.96925;  263.181;
13:55:44    44.178;  -9.96368;  263.186;
13:55:48    44.1744;  -9.98301;  263.167;
13:55:51    44.1756;  -9.97656;  263.173;
13:55:54    44.1758;  -9.97541;  263.175;
13:55:58    44.176;  -9.97448;  263.176;
13:56:01    44.1777;  -9.96521;  263.185;
13:56:05    44.1768;  -9.97011;  263.18;
13:56:08    44.1778;  -9.96488;  263.185;
13:56:12    44.175;  -9.97973;  263.17;
13:56:15    44.1769;  -9.96936;  263.181;
13:56:18    44.1736;  -9.98749;  263.163;
13:56:22    44.1757;  -9.97617;  263.174;
13:56:25    44.1771;  -9.9684;  263.182;
13:56:29    44.1737;  -9.98693;  263.163;
13:56:32    44.177;  -9.96902;  263.181;
13:56:36    44.1751;  -9.97918;  263.171;
13:56:39    44.1742;  -9.98456;  263.165;
13:56:42    44.1734;  -9.9885;  263.162;
13:56:46    44.1745;  -9.98256;  263.167;
13:56:49    44.1737;  -9.98726;  263.163;
13:56:53    44.1742;  -9.98447;  263.166;
13:56:56    44.1739;  -9.98613;  263.164;
13:56:59    44.1731;  -9.99026;  263.16;
13:57:03    44.173;  -9.99089;  263.159;
13:57:06    44.1752;  -9.97888;  263.171;
13:57:10    44.1729;  -9.99149;  263.159;
13:57:13    44.1734;  -9.98853;  263.161;
13:57:17    44.1749;  -9.98054;  263.169;
13:57:20    44.1746;  -9.98222;  263.168;
13:57:23    44.1747;  -9.98154;  263.168;
13:57:27    44.1737;  -9.98717;  263.163;
13:57:30    44.176;  -9.97461;  263.175;
13:57:34    44.1749;  -9.98047;  263.17;
