time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:55:23    47.8164;  9.9637;  283.114;
14:55:27    47.8189;  9.97705;  283.127;
14:55:30    47.8176;  9.97004;  283.12;
14:55:34    47.8172;  9.96806;  283.118;
14:55:37    47.8186;  9.97572;  283.126;
14:55:40    47.8189;  9.97711;  283.127;
14:55:44    47.8183;  9.97367;  283.124;
14:55:47    47.8146;  9.95331;  283.103;
14:55:51    47.8185;  9.97525;  283.125;
14:55:54    47.8182;  9.97358;  283.124;
14:55:57    47.8189;  9.97724;  283.127;
14:56:01    47.817;  9.96665;  283.117;
14:56:04    47.8177;  9.97066;  283.121;
14:56:08    47.8168;  9.96559;  283.116;
14:56:11    47.8171;  9.96753;  283.118;
14:56:15    47.8184;  9.97466;  283.125;
14:56:18    47.8169;  9.96615;  283.116;
14:56:21    47.8147;  9.954;  283.104;
14:56:25    47.8153;  9.95762;  283.108;
14:56:28    47.8161;  9.9617;  283.112;
14:56:32    47.8144;  9.95227;  283.102;
14:56:35    47.8148;  9.95459;  283.105;
14:56:38    47.814;  9.95045;  283.1;
14:56:42    47.8165;  9.96384;  283.114;
14:56:45    47.8158;  9.96028;  283.11;
14:56:49    47.8162;  9.96263;  283.113;
14:56:52    47.8149;  9.9554;  283.105;
14:56:56    47.813;  9.94502;  283.095;
14:56:59    47.8161;  9.96162;  283.112;
14:57:02    47.8152;  9.9569;  283.107;
14:57:06    47.8143;  9.9518;  283.102;
14:57:09    47.8138;  9.94934;  283.099;
14:57:13    47.8149;  9.9553;  283.105;
14:57:16    47.813;  9.94467;  283.095;
14:57:19    47.8156;  9.95922;  283.109;
14:57:23    47.8139;  9.94978;  283.1;
14:57:26    47.818;  9.97221;  283.122;
14:57:30    47.8143;  9.9517;  283.102;
14:57:33    47.8151;  9.9565;  283.106;
14:57:36    47.8135;  9.94757;  283.098;
14:57:40    47.8141;  9.95078;  283.101;
14:57:43    47.8159;  9.96064;  283.111;
14:57:47    47.8149;  9.95508;  283.105;
14:57:50    47.8139;  9.94947;  283.099;
14:57:54    47.8154;  9.95789;  283.108;
14:57:57    47.815;  9.95557;  283.106;
14:58:00    47.8134;  9.94698;  283.097;
14:58:04    47.8143;  9.95176;  283.102;
14:58:07    47.8162;  9.96218;  283.112;
14:58:11    47.8132;  9.94593;  283.096;
