time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:29:00    44.1896;  -9.90007;  263.25;
13:29:03    44.1916;  -9.8894;  263.261;
13:29:06    44.1871;  -9.91395;  263.236;
13:29:10    44.1878;  -9.90989;  263.24;
13:29:13    44.1885;  -9.90622;  263.244;
13:29:17    44.1876;  -9.91129;  263.239;
13:29:20    44.1881;  -9.90857;  263.241;
13:29:24    44.1885;  -9.9061;  263.244;
13:29:27    44.1886;  -9.90555;  263.244;
13:29:31    44.1886;  -9.9056;  263.244;
13:29:34    44.1887;  -9.90505;  263.245;
13:29:37    44.1883;  -9.90724;  263.243;
13:29:41    44.188;  -9.9089;  263.241;
13:29:44    44.1891;  -9.90309;  263.247;
13:29:48    44.1886;  -9.90582;  263.244;
13:29:51    44.1898;  -9.89902;  263.251;
13:29:54    44.1872;  -9.91355;  263.236;
13:29:58    44.1891;  -9.90279;  263.247;
13:30:01    44.1886;  -9.90554;  263.244;
13:30:05    44.186;  -9.92001;  263.23;
13:30:08    44.1876;  -9.91131;  263.239;
13:30:12    44.1879;  -9.90971;  263.24;
13:30:15    44.1883;  -9.90736;  263.243;
13:30:19    44.1881;  -9.90843;  263.242;
13:30:22    44.1875;  -9.91193;  263.238;
13:30:25    44.1868;  -9.91554;  263.234;
13:30:29    44.1873;  -9.91254;  263.237;
13:30:32    44.187;  -9.91446;  263.236;
13:30:36    44.1881;  -9.90823;  263.242;
13:30:39    44.1878;  -9.9099;  263.24;
13:30:42    44.1891;  -9.90305;  263.247;
13:30:46    44.1891;  -9.90317;  263.247;
13:30:49    44.1886;  -9.9058;  263.244;
13:30:53    44.1866;  -9.91669;  263.233;
13:30:56    44.1896;  -9.89996;  263.25;
13:31:00    44.1884;  -9.90665;  263.243;
13:31:03    44.189;  -9.90361;  263.246;
13:31:06    44.1879;  -9.90954;  263.24;
13:31:10    44.189;  -9.9035;  263.246;
13:31:13    44.188;  -9.90884;  263.241;
13:31:17    44.1889;  -9.90396;  263.246;
13:31:20    44.1895;  -9.90078;  263.249;
13:31:23    44.1878;  -9.91015;  263.24;
13:31:27    44.1893;  -9.90162;  263.248;
13:31:30    44.1901;  -9.89735;  263.253;
13:31:34    44.188;  -9.90887;  263.241;
13:31:37    44.1875;  -9.9118;  263.238;
13:31:40    44.1892;  -9.90232;  263.248;
13:31:44    44.1887;  -9.90495;  263.245;
13:31:48    44.1891;  -9.90274;  263.247;
13:31:51    44.188;  -9.90914;  263.241;
