time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:07:21    44.1931;  -9.88112;  263.269;
15:07:25    44.1945;  -9.87366;  263.276;
15:07:28    44.1947;  -9.8724;  263.278;
15:07:32    44.1946;  -9.87304;  263.277;
15:07:35    44.1954;  -9.86835;  263.282;
15:07:38    44.1945;  -9.87366;  263.276;
15:07:42    44.1948;  -9.87181;  263.278;
15:07:45    44.1931;  -9.88131;  263.269;
15:07:49    44.1928;  -9.88272;  263.267;
15:07:52    44.1936;  -9.87857;  263.271;
15:07:56    44.1947;  -9.87215;  263.278;
15:07:59    44.1932;  -9.8808;  263.269;
15:08:02    44.1937;  -9.87775;  263.272;
15:08:06    44.1951;  -9.87023;  263.28;
15:08:09    44.1942;  -9.87528;  263.275;
15:08:13    44.1934;  -9.87953;  263.27;
15:08:16    44.1944;  -9.8741;  263.276;
15:08:20    44.1958;  -9.86644;  263.284;
15:08:23    44.1939;  -9.87677;  263.273;
15:08:26    44.1953;  -9.86884;  263.281;
15:08:30    44.195;  -9.87065;  263.279;
15:08:33    44.1935;  -9.87918;  263.271;
15:08:37    44.1928;  -9.88257;  263.267;
15:08:40    44.1933;  -9.88015;  263.27;
15:08:43    44.1916;  -9.88948;  263.261;
15:08:47    44.195;  -9.87091;  263.279;
15:08:50    44.1923;  -9.88521;  263.265;
15:08:54    44.1937;  -9.87804;  263.272;
15:08:57    44.1945;  -9.87352;  263.276;
15:09:01    44.194;  -9.87602;  263.274;
15:09:04    44.193;  -9.88162;  263.268;
15:09:07    44.1917;  -9.88883;  263.261;
15:09:11    44.1929;  -9.88219;  263.268;
15:09:14    44.1931;  -9.88097;  263.269;
15:09:18    44.1936;  -9.87837;  263.272;
15:09:21    44.1928;  -9.8829;  263.267;
15:09:24    44.1957;  -9.86667;  263.283;
15:09:28    44.1947;  -9.87231;  263.278;
15:09:31    44.1966;  -9.86223;  263.288;
15:09:35    44.1933;  -9.87979;  263.27;
15:09:38    44.1942;  -9.87528;  263.275;
15:09:42    44.1952;  -9.86978;  263.28;
15:09:45    44.1948;  -9.87172;  263.278;
15:09:49    44.1911;  -9.89228;  263.258;
15:09:52    44.1945;  -9.87329;  263.277;
15:09:55    44.1935;  -9.87874;  263.271;
