time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:47:36    51.5011;  30.2658;  303.416;
14:47:39    51.5036;  30.2793;  303.429;
14:47:42    51.5033;  30.2777;  303.428;
14:47:46    51.5024;  30.2726;  303.423;
14:47:49    51.5037;  30.2801;  303.43;
14:47:53    51.5015;  30.2679;  303.418;
14:47:56    51.5026;  30.2737;  303.424;
14:48:00    51.5044;  30.284;  303.434;
14:48:03    51.5019;  30.2698;  303.42;
14:48:06    51.5026;  30.2741;  303.424;
14:48:10    51.5016;  30.2684;  303.418;
14:48:13    51.5031;  30.2769;  303.427;
14:48:17    51.5032;  30.2774;  303.427;
14:48:20    51.5022;  30.2716;  303.422;
14:48:23    51.5013;  30.2667;  303.417;
14:48:27    51.5028;  30.2747;  303.425;
14:48:30    51.501;  30.2653;  303.415;
14:48:34    51.5039;  30.281;  303.431;
14:48:37    51.5027;  30.2745;  303.424;
14:48:41    51.5022;  30.2719;  303.422;
14:48:44    51.5013;  30.267;  303.417;
14:48:48    51.5005;  30.2625;  303.412;
14:48:51    51.5023;  30.2721;  303.422;
14:48:54    51.5029;  30.2757;  303.426;
14:48:58    51.5021;  30.2713;  303.421;
14:49:01    51.5009;  30.2644;  303.414;
14:49:05    51.5031;  30.2768;  303.427;
14:49:08    51.5002;  30.2605;  303.41;
14:49:11    51.5003;  30.261;  303.411;
14:49:15    51.5027;  30.2746;  303.425;
14:49:18    51.5038;  30.2804;  303.43;
14:49:21    51.5026;  30.274;  303.424;
14:49:25    51.5025;  30.2736;  303.424;
14:49:28    51.5018;  30.2695;  303.419;
14:49:32    51.5031;  30.2769;  303.427;
14:49:35    51.5007;  30.2632;  303.413;
14:49:39    51.5021;  30.2709;  303.421;
14:49:42    51.5017;  30.2688;  303.419;
14:49:45    51.5014;  30.2673;  303.417;
14:49:49    51.5002;  30.2606;  303.411;
14:49:52    51.5024;  30.2727;  303.423;
14:49:56    51.5008;  30.2641;  303.414;
14:49:59    51.5015;  30.2675;  303.418;
14:50:03    51.4999;  30.2587;  303.409;
14:50:06    51.4999;  30.2591;  303.409;
14:50:09    51.5013;  30.2666;  303.417;
