time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:56:06    51.5102;  30.3161;  303.466;
12:56:10    51.5097;  30.3132;  303.463;
12:56:13    51.5086;  30.3069;  303.457;
12:56:17    51.5099;  30.314;  303.464;
12:56:20    51.5118;  30.3245;  303.474;
12:56:23    51.5108;  30.3193;  303.469;
12:56:27    51.5096;  30.3125;  303.462;
12:56:30    51.5092;  30.3106;  303.461;
12:56:34    51.511;  30.3205;  303.47;
12:56:37    51.5097;  30.3134;  303.463;
12:56:40    51.5094;  30.3113;  303.461;
12:56:44    51.5106;  30.318;  303.468;
12:56:47    51.5089;  30.3086;  303.459;
12:56:51    51.5093;  30.311;  303.461;
12:56:54    51.5083;  30.3053;  303.455;
12:56:58    51.5086;  30.3072;  303.457;
12:57:01    51.5093;  30.3109;  303.461;
12:57:05    51.5095;  30.3118;  303.462;
12:57:08    51.5093;  30.3107;  303.461;
12:57:11    51.5088;  30.3081;  303.458;
12:57:15    51.5085;  30.3066;  303.457;
12:57:18    51.5079;  30.3033;  303.453;
12:57:22    51.5098;  30.3136;  303.464;
12:57:25    51.5099;  30.3141;  303.464;
12:57:28    51.5085;  30.3067;  303.457;
12:57:32    51.5091;  30.3098;  303.46;
12:57:35    51.5072;  30.2994;  303.449;
12:57:39    51.5095;  30.3123;  303.462;
12:57:42    51.5095;  30.3122;  303.462;
12:57:45    51.5089;  30.3086;  303.459;
12:57:49    51.5089;  30.3089;  303.459;
12:57:52    51.5099;  30.3142;  303.464;
12:57:56    51.5087;  30.3079;  303.458;
12:57:59    51.5085;  30.3064;  303.456;
12:58:03    51.5093;  30.3106;  303.461;
12:58:06    51.511;  30.3202;  303.47;
12:58:09    51.5085;  30.3063;  303.456;
12:58:13    51.508;  30.3035;  303.454;
12:58:16    51.5091;  30.3101;  303.46;
12:58:20    51.5095;  30.3119;  303.462;
12:58:23    51.5079;  30.3033;  303.453;
12:58:26    51.5087;  30.3077;  303.458;
12:58:30    51.5091;  30.3099;  303.46;
12:58:33    51.5087;  30.3078;  303.458;
12:58:37    51.5086;  30.307;  303.457;
12:58:40    51.5093;  30.3108;  303.461;
12:58:44    51.5094;  30.3116;  303.462;
12:58:47    51.5071;  30.2988;  303.449;
12:58:51    51.5088;  30.3083;  303.458;
12:58:54    51.51;  30.315;  303.465;
12:58:57    51.5106;  30.318;  303.468;
12:59:01    51.5105;  30.3173;  303.467;
