time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:33:12    47.8285;  10.0302;  283.18;
13:33:15    47.827;  10.0218;  283.172;
13:33:19    47.8288;  10.0313;  283.181;
13:33:22    47.8263;  10.0177;  283.168;
13:33:26    47.8266;  10.0197;  283.17;
13:33:29    47.8286;  10.0305;  283.181;
13:33:33    47.829;  10.0327;  283.183;
13:33:36    47.8261;  10.0166;  283.167;
13:33:39    47.8233;  10.0015;  283.151;
13:33:43    47.8243;  10.0067;  283.157;
13:33:46    47.8229;  9.9989;  283.149;
13:33:50    47.8228;  9.9985;  283.148;
13:33:53    47.8253;  10.0123;  283.162;
13:33:57    47.8244;  10.0075;  283.157;
13:34:00    47.8245;  10.0082;  283.158;
13:34:03    47.8238;  10.0039;  283.154;
13:34:07    47.8247;  10.0093;  283.159;
13:34:10    47.825;  10.0108;  283.161;
13:34:14    47.8248;  10.0095;  283.159;
13:34:17    47.824;  10.0051;  283.155;
13:34:21    47.8234;  10.0021;  283.152;
13:34:24    47.823;  9.99947;  283.149;
13:34:27    47.8244;  10.0075;  283.158;
13:34:31    47.8244;  10.0076;  283.158;
13:34:34    47.8252;  10.0121;  283.162;
13:34:38    47.8239;  10.0045;  283.154;
13:34:41    47.8228;  9.99843;  283.148;
13:34:44    47.8253;  10.0123;  283.162;
13:34:48    47.8223;  9.99581;  283.146;
13:34:51    47.8225;  9.99692;  283.147;
13:34:55    47.8235;  10.0026;  283.153;
13:34:58    47.8239;  10.0047;  283.155;
13:35:02    47.8226;  9.99735;  283.147;
13:35:05    47.8219;  9.99379;  283.144;
13:35:08    47.824;  10.0054;  283.155;
13:35:12    47.8244;  10.0076;  283.158;
13:35:15    47.8235;  10.0024;  283.152;
13:35:19    47.8239;  10.0048;  283.155;
13:35:22    47.8241;  10.0059;  283.156;
13:35:25    47.8247;  10.0089;  283.159;
13:35:29    47.8217;  9.99242;  283.142;
13:35:32    47.8229;  9.999;  283.149;
13:35:36    47.8243;  10.0069;  283.157;
13:35:39    47.8229;  9.99923;  283.149;
13:35:42    47.8257;  10.0145;  283.165;
13:35:46    47.8228;  9.99848;  283.148;
