time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:43:33    47.8257;  10.0143;  283.164;
14:43:37    47.8265;  10.0187;  283.169;
14:43:40    47.8251;  10.0114;  283.161;
14:43:43    47.8245;  10.0082;  283.158;
14:43:47    47.8255;  10.0133;  283.163;
14:43:50    47.8264;  10.0182;  283.168;
14:43:54    47.8256;  10.0142;  283.164;
14:43:57    47.8237;  10.0037;  283.154;
14:44:01    47.8247;  10.0093;  283.159;
14:44:04    47.8259;  10.0155;  283.165;
14:44:07    47.824;  10.0053;  283.155;
14:44:11    47.8247;  10.0091;  283.159;
14:44:14    47.8261;  10.0165;  283.167;
14:44:18    47.8248;  10.0097;  283.16;
14:44:21    47.8246;  10.0086;  283.159;
14:44:24    47.8263;  10.0177;  283.168;
14:44:28    47.8253;  10.0125;  283.162;
14:44:31    47.8263;  10.018;  283.168;
14:44:35    47.8232;  10.001;  283.151;
14:44:38    47.8261;  10.0167;  283.167;
14:44:41    47.8256;  10.014;  283.164;
14:44:45    47.8227;  9.99815;  283.148;
14:44:48    47.8265;  10.0192;  283.169;
14:44:52    47.824;  10.0052;  283.155;
14:44:55    47.8248;  10.0095;  283.159;
14:44:59    47.8227;  9.99813;  283.148;
14:45:02    47.8255;  10.0135;  283.164;
14:45:05    47.8259;  10.0155;  283.165;
14:45:09    47.8259;  10.0154;  283.165;
14:45:12    47.8252;  10.012;  283.162;
14:45:16    47.8253;  10.0125;  283.162;
14:45:19    47.8239;  10.0044;  283.154;
14:45:23    47.8261;  10.0168;  283.167;
14:45:26    47.8246;  10.0082;  283.158;
14:45:29    47.8248;  10.0096;  283.16;
14:45:33    47.8268;  10.0207;  283.171;
14:45:36    47.8244;  10.0072;  283.157;
14:45:40    47.8237;  10.0033;  283.153;
14:45:43    47.8253;  10.0122;  283.162;
14:45:46    47.8245;  10.0079;  283.158;
14:45:50    47.8244;  10.0075;  283.158;
14:45:53    47.8248;  10.0094;  283.159;
14:45:57    47.824;  10.0053;  283.155;
14:46:00    47.8234;  10.0022;  283.152;
14:46:04    47.8247;  10.0089;  283.159;
14:46:07    47.823;  9.99944;  283.149;
14:46:10    47.8251;  10.0113;  283.161;
14:46:14    47.8235;  10.0027;  283.153;
14:46:17    47.8233;  10.0015;  283.151;
