time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:43:46    47.8177;  9.97066;  283.121;
15:43:49    47.8173;  9.96863;  283.119;
15:43:52    47.8176;  9.96987;  283.12;
15:43:56    47.817;  9.96677;  283.117;
15:43:59    47.8178;  9.97112;  283.121;
15:44:03    47.8165;  9.96379;  283.114;
15:44:06    47.8176;  9.96986;  283.12;
15:44:10    47.8158;  9.96029;  283.11;
15:44:13    47.816;  9.96145;  283.111;
15:44:16    47.8175;  9.96936;  283.119;
15:44:20    47.8182;  9.97343;  283.123;
15:44:23    47.8184;  9.97451;  283.125;
15:44:27    47.8173;  9.96819;  283.118;
15:44:30    47.8177;  9.97041;  283.12;
15:44:33    47.8159;  9.96094;  283.111;
15:44:37    47.8169;  9.96607;  283.116;
15:44:40    47.8183;  9.97373;  283.124;
15:44:44    47.8183;  9.97362;  283.124;
15:44:47    47.8183;  9.97376;  283.124;
15:44:51    47.8162;  9.96231;  283.112;
15:44:54    47.8173;  9.96864;  283.119;
15:44:57    47.8172;  9.96781;  283.118;
15:45:01    47.8187;  9.97616;  283.126;
15:45:04    47.8162;  9.96238;  283.112;
15:45:08    47.8166;  9.96479;  283.115;
15:45:11    47.8184;  9.9746;  283.125;
15:45:14    47.8166;  9.96443;  283.114;
15:45:18    47.8161;  9.96197;  283.112;
15:45:21    47.8169;  9.96621;  283.116;
15:45:25    47.8178;  9.97089;  283.121;
15:45:28    47.8171;  9.96744;  283.117;
15:45:32    47.8166;  9.96457;  283.115;
15:45:35    47.8189;  9.97706;  283.127;
15:45:38    47.8165;  9.96387;  283.114;
15:45:42    47.819;  9.97783;  283.128;
15:45:45    47.8177;  9.9706;  283.121;
15:45:49    47.8178;  9.97139;  283.121;
15:45:52    47.8157;  9.95945;  283.109;
15:45:55    47.8158;  9.95998;  283.11;
15:45:59    47.8163;  9.9628;  283.113;
15:46:02    47.8176;  9.97;  283.12;
15:46:06    47.8168;  9.96558;  283.116;
15:46:09    47.8169;  9.96617;  283.116;
15:46:12    47.8164;  9.96341;  283.113;
15:46:16    47.8172;  9.96804;  283.118;
