time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:04:21    44.183;  -9.93612;  263.214;
12:04:25    44.1829;  -9.93664;  263.213;
12:04:28    44.1822;  -9.94036;  263.21;
12:04:32    44.1817;  -9.94322;  263.207;
12:04:35    44.1832;  -9.935;  263.215;
12:04:38    44.1825;  -9.93875;  263.211;
12:04:42    44.1825;  -9.93897;  263.211;
12:04:45    44.182;  -9.94151;  263.208;
12:04:49    44.1819;  -9.9425;  263.208;
12:04:52    44.1823;  -9.94001;  263.21;
12:04:55    44.182;  -9.94161;  263.208;
12:04:59    44.1834;  -9.93428;  263.216;
12:05:02    44.1838;  -9.93163;  263.218;
12:05:06    44.182;  -9.94188;  263.208;
12:05:09    44.1832;  -9.93529;  263.215;
12:05:13    44.1813;  -9.94531;  263.205;
12:05:16    44.184;  -9.93077;  263.219;
12:05:19    44.1844;  -9.92861;  263.221;
12:05:23    44.1838;  -9.9318;  263.218;
12:05:26    44.1834;  -9.93422;  263.216;
12:05:30    44.1843;  -9.92907;  263.221;
12:05:33    44.1834;  -9.934;  263.216;
12:05:37    44.1815;  -9.94445;  263.206;
12:05:40    44.1834;  -9.93403;  263.216;
12:05:43    44.1825;  -9.9388;  263.211;
12:05:47    44.1827;  -9.93783;  263.212;
12:05:50    44.1844;  -9.92876;  263.221;
12:05:54    44.182;  -9.94165;  263.208;
12:05:57    44.1843;  -9.92931;  263.221;
12:06:01    44.1833;  -9.93449;  263.216;
12:06:04    44.1837;  -9.93255;  263.217;
12:06:07    44.1813;  -9.9458;  263.204;
12:06:11    44.1837;  -9.93224;  263.218;
12:06:14    44.1847;  -9.92724;  263.223;
12:06:18    44.1834;  -9.93422;  263.216;
12:06:21    44.1831;  -9.93554;  263.214;
12:06:24    44.1853;  -9.92386;  263.226;
12:06:28    44.1828;  -9.93752;  263.212;
12:06:31    44.1835;  -9.9336;  263.216;
12:06:35    44.1834;  -9.9341;  263.216;
12:06:38    44.1834;  -9.93381;  263.216;
12:06:41    44.1813;  -9.9454;  263.205;
12:06:45    44.1838;  -9.93213;  263.218;
12:06:48    44.1841;  -9.93007;  263.22;
12:06:52    44.1836;  -9.93299;  263.217;
12:06:55    44.1845;  -9.9281;  263.222;
12:06:59    44.1821;  -9.94136;  263.209;
12:07:02    44.1842;  -9.92982;  263.22;
