time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:10:38    47.8174;  9.96891;  283.119;
11:10:42    47.82;  9.9834;  283.133;
11:10:45    47.8199;  9.98293;  283.133;
11:10:49    47.8204;  9.98563;  283.136;
11:10:52    47.8182;  9.97333;  283.123;
11:10:55    47.8208;  9.98785;  283.138;
11:10:59    47.8183;  9.97369;  283.124;
11:11:02    47.8179;  9.9719;  283.122;
11:11:06    47.8182;  9.97347;  283.123;
11:11:09    47.8187;  9.97617;  283.126;
11:11:13    47.8178;  9.97087;  283.121;
11:11:16    47.8202;  9.98456;  283.135;
11:11:19    47.8195;  9.98037;  283.13;
11:11:23    47.818;  9.97201;  283.122;
11:11:26    47.8189;  9.97735;  283.127;
11:11:30    47.8181;  9.97264;  283.123;
11:11:33    47.8185;  9.97502;  283.125;
11:11:37    47.8176;  9.96984;  283.12;
11:11:40    47.8179;  9.97142;  283.121;
11:11:43    47.8175;  9.96956;  283.12;
11:11:47    47.819;  9.97783;  283.128;
11:11:50    47.8182;  9.97309;  283.123;
11:11:54    47.8189;  9.97705;  283.127;
11:11:57    47.8169;  9.96624;  283.116;
11:12:01    47.8188;  9.97662;  283.127;
11:12:04    47.8175;  9.96952;  283.12;
11:12:07    47.8187;  9.97615;  283.126;
11:12:11    47.8198;  9.98232;  283.132;
11:12:14    47.8191;  9.97851;  283.129;
11:12:18    47.8186;  9.97537;  283.125;
11:12:21    47.8181;  9.97258;  283.123;
11:12:24    47.8184;  9.97427;  283.124;
11:12:28    47.8202;  9.98414;  283.134;
11:12:31    47.8192;  9.97905;  283.129;
11:12:35    47.8198;  9.98196;  283.132;
11:12:38    47.8176;  9.96998;  283.12;
11:12:42    47.8183;  9.97385;  283.124;
11:12:45    47.8176;  9.96988;  283.12;
11:12:48    47.8196;  9.98087;  283.131;
11:12:52    47.8181;  9.97304;  283.123;
11:12:55    47.8191;  9.97804;  283.128;
11:12:59    47.8175;  9.96971;  283.12;
11:13:02    47.8176;  9.9701;  283.12;
11:13:05    47.8178;  9.97138;  283.121;
11:13:09    47.8179;  9.9719;  283.122;
11:13:12    47.8191;  9.97842;  283.128;
11:13:16    47.8178;  9.97108;  283.121;
11:13:19    47.8172;  9.96811;  283.118;
11:13:23    47.8184;  9.97471;  283.125;
11:13:26    47.8187;  9.97629;  283.126;
11:13:29    47.8181;  9.97276;  283.123;
