time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:46:15    47.8274;  10.0238;  283.174;
13:46:18    47.827;  10.0218;  283.172;
13:46:21    47.828;  10.0269;  283.177;
13:46:25    47.8272;  10.0229;  283.173;
13:46:28    47.8267;  10.0201;  283.17;
13:46:32    47.8258;  10.0152;  283.165;
13:46:35    47.8244;  10.0073;  283.157;
13:46:39    47.8246;  10.0082;  283.158;
13:46:42    47.8257;  10.0146;  283.165;
13:46:45    47.8255;  10.0134;  283.163;
13:46:49    47.8244;  10.0073;  283.157;
13:46:52    47.8226;  9.99774;  283.148;
13:46:56    47.8246;  10.0086;  283.159;
13:46:59    47.8241;  10.0059;  283.156;
13:47:03    47.8244;  10.0073;  283.157;
13:47:06    47.8243;  10.0068;  283.157;
13:47:09    47.8261;  10.0167;  283.167;
13:47:13    47.8233;  10.0014;  283.151;
13:47:16    47.8254;  10.0127;  283.163;
13:47:20    47.8249;  10.0104;  283.16;
13:47:23    47.8243;  10.0069;  283.157;
13:47:26    47.8235;  10.0025;  283.152;
13:47:30    47.8227;  9.99823;  283.148;
13:47:33    47.8254;  10.0127;  283.163;
13:47:37    47.8243;  10.0071;  283.157;
13:47:40    47.822;  9.99443;  283.144;
13:47:43    47.8242;  10.0065;  283.156;
13:47:47    47.8238;  10.0039;  283.154;
13:47:50    47.8237;  10.0036;  283.154;
13:47:54    47.825;  10.0108;  283.161;
13:47:57    47.8259;  10.0155;  283.166;
13:48:00    47.8229;  9.99917;  283.149;
13:48:04    47.8249;  10.01;  283.16;
13:48:07    47.8247;  10.009;  283.159;
13:48:11    47.8258;  10.015;  283.165;
13:48:14    47.8231;  10.0004;  283.15;
13:48:18    47.8225;  9.99681;  283.147;
13:48:21    47.8224;  9.99656;  283.147;
13:48:24    47.8246;  10.0083;  283.158;
13:48:28    47.8251;  10.0114;  283.161;
13:48:31    47.8243;  10.007;  283.157;
13:48:35    47.8241;  10.0057;  283.156;
13:48:38    47.824;  10.0054;  283.155;
13:48:42    47.8258;  10.0153;  283.165;
13:48:45    47.8237;  10.0033;  283.153;
13:48:48    47.8237;  10.0035;  283.153;
13:48:52    47.8243;  10.0066;  283.157;
13:48:55    47.8234;  10.002;  283.152;
13:48:59    47.8235;  10.0023;  283.152;
