time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:47:32    47.8232;  10.0009;  283.151;
12:47:36    47.824;  10.0054;  283.155;
12:47:39    47.8237;  10.0033;  283.153;
12:47:43    47.8233;  10.0016;  283.152;
12:47:46    47.8255;  10.0135;  283.164;
12:47:49    47.8231;  10.0001;  283.15;
12:47:53    47.822;  9.99402;  283.144;
12:47:56    47.8225;  9.99719;  283.147;
12:48:00    47.8191;  9.97806;  283.128;
12:48:03    47.8215;  9.99141;  283.141;
12:48:06    47.8204;  9.98557;  283.136;
12:48:10    47.8198;  9.98203;  283.132;
12:48:13    47.8199;  9.98241;  283.132;
12:48:17    47.82;  9.98309;  283.133;
12:48:20    47.8211;  9.98918;  283.139;
12:48:24    47.8184;  9.97439;  283.124;
12:48:27    47.8191;  9.97818;  283.128;
12:48:31    47.819;  9.978;  283.128;
12:48:34    47.8204;  9.98543;  283.135;
12:48:37    47.821;  9.98899;  283.139;
12:48:41    47.8206;  9.98655;  283.137;
12:48:44    47.8187;  9.97629;  283.126;
12:48:48    47.8192;  9.9791;  283.129;
12:48:51    47.8197;  9.9817;  283.132;
12:48:54    47.8202;  9.98412;  283.134;
12:48:58    47.8208;  9.98788;  283.138;
12:49:01    47.82;  9.98301;  283.133;
12:49:05    47.8204;  9.98538;  283.135;
12:49:08    47.8198;  9.98196;  283.132;
12:49:11    47.8186;  9.97575;  283.126;
12:49:15    47.8208;  9.98773;  283.138;
12:49:18    47.8194;  9.98018;  283.13;
12:49:22    47.8174;  9.96896;  283.119;
12:49:25    47.82;  9.98307;  283.133;
12:49:28    47.8198;  9.98197;  283.132;
12:49:32    47.8195;  9.98021;  283.13;
12:49:35    47.819;  9.97787;  283.128;
12:49:39    47.8186;  9.97533;  283.125;
12:49:42    47.8191;  9.97822;  283.128;
12:49:46    47.8214;  9.99088;  283.141;
12:49:49    47.819;  9.97781;  283.128;
12:49:52    47.8205;  9.98584;  283.136;
12:49:56    47.8191;  9.97821;  283.128;
12:49:59    47.8187;  9.97629;  283.126;
