time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:26:45    44.1946;  -9.8728;  263.277;
14:26:49    44.1932;  -9.8807;  263.269;
14:26:52    44.1939;  -9.87662;  263.273;
14:26:55    44.1965;  -9.86235;  263.288;
14:26:59    44.1966;  -9.86214;  263.288;
14:27:02    44.1975;  -9.85711;  263.293;
14:27:06    44.1949;  -9.87118;  263.279;
14:27:09    44.1944;  -9.87395;  263.276;
14:27:13    44.1955;  -9.86808;  263.282;
14:27:16    44.1946;  -9.87308;  263.277;
14:27:19    44.1957;  -9.86689;  263.283;
14:27:23    44.1957;  -9.86691;  263.283;
14:27:26    44.1943;  -9.87472;  263.275;
14:27:30    44.1945;  -9.87351;  263.276;
14:27:33    44.1936;  -9.87816;  263.272;
14:27:36    44.1975;  -9.85704;  263.293;
14:27:40    44.1936;  -9.87813;  263.272;
14:27:43    44.1934;  -9.87945;  263.271;
14:27:47    44.1959;  -9.86605;  263.284;
14:27:50    44.1938;  -9.87701;  263.273;
14:27:54    44.1937;  -9.87764;  263.272;
14:27:57    44.1932;  -9.88028;  263.27;
14:28:00    44.1943;  -9.87445;  263.276;
14:28:04    44.1951;  -9.87003;  263.28;
14:28:07    44.196;  -9.8653;  263.285;
14:28:11    44.1958;  -9.86648;  263.284;
14:28:14    44.1931;  -9.88091;  263.269;
14:28:18    44.1943;  -9.87448;  263.276;
14:28:21    44.194;  -9.87614;  263.274;
14:28:24    44.1944;  -9.8742;  263.276;
14:28:28    44.1951;  -9.87015;  263.28;
14:28:31    44.1935;  -9.87892;  263.271;
14:28:35    44.1936;  -9.87856;  263.271;
14:28:38    44.1937;  -9.87793;  263.272;
14:28:41    44.1917;  -9.88873;  263.261;
14:28:45    44.194;  -9.876;  263.274;
14:28:48    44.1931;  -9.88108;  263.269;
14:28:52    44.1944;  -9.87396;  263.276;
14:28:55    44.1939;  -9.87647;  263.274;
14:28:58    44.1973;  -9.85808;  263.292;
14:29:02    44.1941;  -9.8758;  263.274;
14:29:05    44.1945;  -9.87333;  263.277;
14:29:09    44.1948;  -9.87173;  263.278;
14:29:12    44.195;  -9.87071;  263.279;
14:29:16    44.1958;  -9.86659;  263.283;
14:29:19    44.1941;  -9.87588;  263.274;
14:29:22    44.1914;  -9.89019;  263.26;
14:29:26    44.193;  -9.88172;  263.268;
