time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:15:03    47.8196;  9.98107;  283.131;
11:15:07    47.8209;  9.98831;  283.138;
11:15:10    47.8223;  9.99566;  283.146;
11:15:14    47.821;  9.98845;  283.138;
11:15:17    47.8201;  9.98387;  283.134;
11:15:20    47.8207;  9.98711;  283.137;
11:15:24    47.8196;  9.98115;  283.131;
11:15:27    47.8193;  9.97914;  283.129;
11:15:31    47.8186;  9.97564;  283.126;
11:15:34    47.8204;  9.98533;  283.135;
11:15:37    47.8203;  9.98501;  283.135;
11:15:41    47.82;  9.98319;  283.133;
11:15:44    47.8196;  9.9813;  283.131;
11:15:48    47.8187;  9.97593;  283.126;
11:15:51    47.8199;  9.98251;  283.133;
11:15:55    47.8202;  9.98414;  283.134;
11:15:58    47.8196;  9.98078;  283.131;
11:16:01    47.8198;  9.98227;  283.132;
11:16:05    47.82;  9.98324;  283.133;
11:16:08    47.8208;  9.98745;  283.137;
11:16:12    47.8207;  9.98708;  283.137;
11:16:15    47.8192;  9.97887;  283.129;
11:16:18    47.8203;  9.98497;  283.135;
11:16:22    47.8201;  9.98365;  283.134;
11:16:25    47.8186;  9.97549;  283.125;
11:16:29    47.8178;  9.97097;  283.121;
11:16:32    47.821;  9.98849;  283.138;
11:16:36    47.8196;  9.98089;  283.131;
11:16:39    47.8185;  9.97518;  283.125;
11:16:43    47.8193;  9.97937;  283.129;
11:16:46    47.8198;  9.98203;  283.132;
11:16:49    47.8214;  9.99097;  283.141;
11:16:53    47.8191;  9.97852;  283.129;
11:16:56    47.8199;  9.98248;  283.132;
11:17:00    47.8196;  9.98079;  283.131;
11:17:03    47.8212;  9.99004;  283.14;
11:17:06    47.8183;  9.97385;  283.124;
11:17:10    47.8188;  9.97675;  283.127;
11:17:13    47.8181;  9.97296;  283.123;
11:17:17    47.8213;  9.99043;  283.14;
11:17:20    47.8195;  9.98053;  283.131;
11:17:24    47.8196;  9.98084;  283.131;
11:17:27    47.82;  9.98326;  283.133;
11:17:30    47.8198;  9.98219;  283.132;
11:17:34    47.8206;  9.98645;  283.136;
11:17:37    47.8213;  9.99018;  283.14;
11:17:41    47.8191;  9.9782;  283.128;
11:17:44    47.8187;  9.97593;  283.126;
