time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:25:03    44.1714;  -9.99969;  263.15;
14:25:06    44.1722;  -9.99511;  263.155;
14:25:09    44.1702;  -10.0063;  263.144;
14:25:13    44.1699;  -10.0077;  263.142;
14:25:16    44.1718;  -9.99735;  263.153;
14:25:20    44.1706;  -10.0041;  263.146;
14:25:23    44.1706;  -10.0041;  263.146;
14:25:27    44.1709;  -10.0026;  263.147;
14:25:30    44.1714;  -9.99955;  263.15;
14:25:33    44.1684;  -10.0157;  263.134;
14:25:37    44.1716;  -9.99854;  263.151;
14:25:40    44.1689;  -10.0135;  263.137;
14:25:44    44.1697;  -10.0091;  263.141;
14:25:47    44.1702;  -10.006;  263.144;
14:25:50    44.1708;  -10.0029;  263.147;
14:25:54    44.1692;  -10.0116;  263.138;
14:25:57    44.169;  -10.0127;  263.137;
14:26:01    44.1695;  -10.0098;  263.14;
14:26:04    44.1705;  -10.0048;  263.145;
14:26:08    44.1693;  -10.0109;  263.139;
14:26:11    44.1692;  -10.0118;  263.138;
14:26:15    44.1695;  -10.0102;  263.14;
14:26:18    44.169;  -10.0127;  263.137;
14:26:21    44.1692;  -10.0115;  263.139;
14:26:25    44.1695;  -10.0101;  263.14;
14:26:28    44.1703;  -10.0059;  263.144;
14:26:32    44.1707;  -10.0035;  263.146;
14:26:35    44.1708;  -10.003;  263.147;
14:26:38    44.1672;  -10.0223;  263.128;
14:26:42    44.1691;  -10.0121;  263.138;
14:26:45    44.1689;  -10.0132;  263.137;
14:26:49    44.169;  -10.0127;  263.137;
14:26:52    44.1701;  -10.0069;  263.143;
14:26:56    44.1704;  -10.0052;  263.145;
14:26:59    44.1707;  -10.0036;  263.146;
14:27:02    44.1684;  -10.0159;  263.134;
14:27:06    44.1676;  -10.0205;  263.13;
14:27:09    44.1699;  -10.0079;  263.142;
14:27:13    44.1688;  -10.0137;  263.136;
14:27:16    44.1705;  -10.0047;  263.145;
14:27:20    44.1692;  -10.0117;  263.138;
14:27:23    44.17;  -10.0075;  263.142;
14:27:26    44.1693;  -10.011;  263.139;
14:27:30    44.1683;  -10.0168;  263.133;
14:27:33    44.1667;  -10.0255;  263.124;
