time   Resistance(Ohm);  Temperature('C);  Temperature(K);
11:23:35    47.8209;  9.98837;  283.138;
11:23:39    47.8209;  9.9881;  283.138;
11:23:42    47.8217;  9.99252;  283.143;
11:23:45    47.821;  9.98873;  283.139;
11:23:49    47.8198;  9.982;  283.132;
11:23:52    47.8216;  9.9921;  283.142;
11:23:56    47.8198;  9.98189;  283.132;
11:23:59    47.821;  9.98856;  283.139;
11:24:03    47.8205;  9.98604;  283.136;
11:24:06    47.8218;  9.99326;  283.143;
11:24:09    47.8195;  9.98038;  283.13;
11:24:13    47.8195;  9.98069;  283.131;
11:24:16    47.8207;  9.98689;  283.137;
11:24:20    47.8203;  9.98479;  283.135;
11:24:23    47.8211;  9.9891;  283.139;
11:24:26    47.821;  9.9889;  283.139;
11:24:30    47.8209;  9.98808;  283.138;
11:24:33    47.8183;  9.97403;  283.124;
11:24:37    47.8211;  9.989;  283.139;
11:24:40    47.8204;  9.98544;  283.135;
11:24:44    47.8206;  9.98628;  283.136;
11:24:47    47.8212;  9.98996;  283.14;
11:24:50    47.8199;  9.9826;  283.133;
11:24:54    47.8209;  9.98794;  283.138;
11:24:57    47.8221;  9.99495;  283.145;
11:25:01    47.8205;  9.986;  283.136;
11:25:04    47.8207;  9.9873;  283.137;
11:25:08    47.8199;  9.98266;  283.133;
11:25:11    47.82;  9.98299;  283.133;
11:25:14    47.8192;  9.97888;  283.129;
11:25:18    47.8197;  9.98137;  283.131;
11:25:21    47.8203;  9.98499;  283.135;
11:25:24    47.8193;  9.97925;  283.129;
11:25:28    47.8197;  9.98179;  283.132;
11:25:31    47.8198;  9.98233;  283.132;
11:25:35    47.8193;  9.97934;  283.129;
11:25:38    47.82;  9.98326;  283.133;
11:25:42    47.8205;  9.9857;  283.136;
11:25:45    47.8196;  9.98081;  283.131;
11:25:48    47.8203;  9.98478;  283.135;
11:25:52    47.8203;  9.98462;  283.135;
11:25:55    47.8203;  9.98474;  283.135;
11:25:59    47.8209;  9.98802;  283.138;
11:26:02    47.8202;  9.98437;  283.134;
11:26:05    47.8188;  9.97662;  283.127;
11:26:09    47.82;  9.98312;  283.133;
