time   Resistance(Ohm);  Temperature('C);  Temperature(K);
10:43:46    47.8174;  9.96882;  283.119;
10:43:50    47.8188;  9.97674;  283.127;
10:43:53    47.8196;  9.98104;  283.131;
10:43:57    47.8179;  9.9717;  283.122;
10:44:00    47.8164;  9.96347;  283.113;
10:44:03    47.8189;  9.97741;  283.127;
10:44:07    47.8184;  9.97437;  283.124;
10:44:10    47.8182;  9.97355;  283.124;
10:44:14    47.8171;  9.96734;  283.117;
10:44:17    47.818;  9.97238;  283.122;
10:44:20    47.8181;  9.97289;  283.123;
10:44:24    47.8185;  9.97471;  283.125;
10:44:27    47.817;  9.96674;  283.117;
10:44:31    47.8182;  9.97326;  283.123;
10:44:34    47.8168;  9.96549;  283.115;
10:44:38    47.8191;  9.97818;  283.128;
10:44:41    47.8183;  9.9739;  283.124;
10:44:44    47.8175;  9.96965;  283.12;
10:44:48    47.8194;  9.97992;  283.13;
10:44:51    47.8177;  9.97033;  283.12;
10:44:55    47.8183;  9.97382;  283.124;
10:44:58    47.8178;  9.97117;  283.121;
10:45:01    47.8183;  9.97373;  283.124;
10:45:05    47.8172;  9.9676;  283.118;
10:45:08    47.8181;  9.97261;  283.123;
10:45:12    47.8191;  9.97803;  283.128;
10:45:15    47.8205;  9.98621;  283.136;
10:45:19    47.8175;  9.96941;  283.119;
10:45:22    47.8181;  9.97302;  283.123;
10:45:25    47.8176;  9.97007;  283.12;
10:45:29    47.8168;  9.96579;  283.116;
10:45:32    47.8171;  9.96706;  283.117;
10:45:36    47.8171;  9.96706;  283.117;
10:45:39    47.8197;  9.98148;  283.131;
10:45:42    47.8175;  9.96951;  283.12;
10:45:46    47.819;  9.97763;  283.128;
10:45:49    47.8168;  9.96571;  283.116;
10:45:53    47.8186;  9.97541;  283.125;
10:45:56    47.8173;  9.96852;  283.119;
10:45:59    47.8182;  9.97328;  283.123;
10:46:03    47.817;  9.96657;  283.117;
10:46:06    47.8191;  9.97849;  283.128;
10:46:10    47.8187;  9.97599;  283.126;
10:46:13    47.818;  9.97251;  283.123;
10:46:17    47.8202;  9.98453;  283.135;
10:46:20    47.8179;  9.97142;  283.121;
10:46:23    47.8169;  9.96619;  283.116;
10:46:27    47.818;  9.97251;  283.123;
10:46:30    47.8198;  9.98238;  283.132;
10:46:34    47.8174;  9.96915;  283.119;
10:46:37    47.8181;  9.97296;  283.123;
10:46:41    47.8191;  9.97856;  283.129;
