time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:33:54    44.1899;  -9.89842;  263.252;
13:33:57    44.1914;  -9.89012;  263.26;
13:34:01    44.1879;  -9.9096;  263.24;
13:34:04    44.1921;  -9.88642;  263.264;
13:34:08    44.1916;  -9.88913;  263.261;
13:34:11    44.1907;  -9.89425;  263.256;
13:34:14    44.191;  -9.89234;  263.258;
13:34:18    44.1908;  -9.89361;  263.256;
13:34:21    44.1898;  -9.89913;  263.251;
13:34:25    44.19;  -9.89815;  263.252;
13:34:28    44.1898;  -9.89911;  263.251;
13:34:32    44.191;  -9.89283;  263.257;
13:34:35    44.1895;  -9.90064;  263.249;
13:34:38    44.1907;  -9.89425;  263.256;
13:34:42    44.1903;  -9.89658;  263.253;
13:34:45    44.1893;  -9.90212;  263.248;
13:34:49    44.1902;  -9.89687;  263.253;
13:34:52    44.1908;  -9.89361;  263.256;
13:34:56    44.191;  -9.89245;  263.258;
13:34:59    44.1906;  -9.89481;  263.255;
13:35:02    44.1907;  -9.89423;  263.256;
13:35:06    44.1887;  -9.90492;  263.245;
13:35:09    44.1916;  -9.8894;  263.261;
13:35:13    44.1904;  -9.8958;  263.254;
13:35:16    44.1907;  -9.89406;  263.256;
13:35:19    44.191;  -9.89276;  263.257;
13:35:23    44.1907;  -9.89411;  263.256;
13:35:26    44.1927;  -9.88353;  263.266;
13:35:30    44.1917;  -9.88859;  263.261;
13:35:33    44.1905;  -9.89532;  263.255;
13:35:37    44.1908;  -9.89375;  263.256;
13:35:40    44.1897;  -9.89973;  263.25;
13:35:43    44.1922;  -9.88611;  263.264;
13:35:47    44.1908;  -9.89379;  263.256;
13:35:50    44.1914;  -9.89026;  263.26;
13:35:54    44.1919;  -9.8874;  263.263;
13:35:57    44.1926;  -9.88368;  263.266;
13:36:01    44.1903;  -9.89637;  263.254;
13:36:04    44.192;  -9.88686;  263.263;
13:36:08    44.1909;  -9.89302;  263.257;
13:36:11    44.191;  -9.89284;  263.257;
13:36:14    44.1899;  -9.89885;  263.251;
13:36:18    44.1909;  -9.89295;  263.257;
13:36:21    44.1909;  -9.89337;  263.257;
13:36:25    44.1921;  -9.88668;  263.263;
13:36:28    44.1916;  -9.88929;  263.261;
13:36:31    44.1908;  -9.89364;  263.256;
13:36:35    44.192;  -9.88723;  263.263;
13:36:38    44.1912;  -9.89123;  263.259;
13:36:42    44.1912;  -9.89157;  263.258;
13:36:45    44.1926;  -9.88361;  263.266;
13:36:49    44.1922;  -9.88575;  263.264;
13:36:52    44.191;  -9.89247;  263.258;
13:36:55    44.1898;  -9.89896;  263.251;
13:36:59    44.1894;  -9.90105;  263.249;
13:37:02    44.1913;  -9.89096;  263.259;
