time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:20:37    51.5134;  30.3338;  303.484;
13:20:40    51.5142;  30.3382;  303.488;
13:20:44    51.5133;  30.333;  303.483;
13:20:47    51.5149;  30.3418;  303.492;
13:20:51    51.5159;  30.3473;  303.497;
13:20:54    51.5113;  30.3222;  303.472;
13:20:57    51.5099;  30.3144;  303.464;
13:21:01    51.5084;  30.3059;  303.456;
13:21:04    51.5102;  30.3157;  303.466;
13:21:08    51.5101;  30.3155;  303.466;
13:21:11    51.5103;  30.3165;  303.467;
13:21:14    51.5114;  30.3223;  303.472;
13:21:18    51.5101;  30.3151;  303.465;
13:21:21    51.5088;  30.3083;  303.458;
13:21:25    51.5079;  30.3033;  303.453;
13:21:28    51.509;  30.3094;  303.459;
13:21:32    51.5101;  30.3152;  303.465;
13:21:35    51.5091;  30.3097;  303.46;
13:21:38    51.5123;  30.3274;  303.477;
13:21:42    51.51;  30.3146;  303.465;
13:21:45    51.5103;  30.3165;  303.467;
13:21:49    51.5077;  30.3023;  303.452;
13:21:52    51.5098;  30.3138;  303.464;
13:21:55    51.5102;  30.3159;  303.466;
13:21:59    51.5143;  30.3385;  303.488;
13:22:02    51.5134;  30.3337;  303.484;
13:22:06    51.5117;  30.3243;  303.474;
13:22:09    51.5116;  30.3239;  303.474;
13:22:13    51.5126;  30.3293;  303.479;
13:22:16    51.5131;  30.3321;  303.482;
13:22:19    51.5149;  30.3417;  303.492;
13:22:23    51.5122;  30.3268;  303.477;
13:22:26    51.5133;  30.333;  303.483;
13:22:30    51.5128;  30.3302;  303.48;
13:22:33    51.5129;  30.3307;  303.481;
13:22:37    51.5145;  30.3394;  303.489;
13:22:40    51.5111;  30.3209;  303.471;
13:22:43    51.5137;  30.335;  303.485;
13:22:47    51.5136;  30.3346;  303.485;
13:22:50    51.5127;  30.3295;  303.48;
13:22:54    51.5126;  30.329;  303.479;
13:22:57    51.5136;  30.3344;  303.484;
13:23:00    51.5142;  30.338;  303.488;
13:23:04    51.5147;  30.3408;  303.491;
13:23:07    51.5126;  30.3292;  303.479;
13:23:11    51.5128;  30.3301;  303.48;
13:23:14    51.5139;  30.3366;  303.487;
13:23:17    51.5133;  30.3333;  303.483;
