time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:35:55    44.183;  -9.93624;  263.214;
15:35:59    44.1824;  -9.93934;  263.211;
15:36:02    44.1816;  -9.94402;  263.206;
15:36:06    44.1831;  -9.9359;  263.214;
15:36:09    44.1818;  -9.94304;  263.207;
15:36:12    44.1832;  -9.93497;  263.215;
15:36:16    44.1834;  -9.93416;  263.216;
15:36:19    44.1821;  -9.9411;  263.209;
15:36:23    44.1816;  -9.9439;  263.206;
15:36:26    44.1811;  -9.94679;  263.203;
15:36:30    44.1833;  -9.93467;  263.215;
15:36:33    44.1834;  -9.93421;  263.216;
15:36:36    44.1825;  -9.93895;  263.211;
15:36:40    44.1819;  -9.94222;  263.208;
15:36:43    44.1817;  -9.94318;  263.207;
15:36:47    44.1821;  -9.94124;  263.209;
15:36:50    44.182;  -9.94191;  263.208;
15:36:53    44.182;  -9.94175;  263.208;
15:36:57    44.1829;  -9.93681;  263.213;
15:37:00    44.1821;  -9.94117;  263.209;
15:37:04    44.1822;  -9.94081;  263.209;
15:37:07    44.1814;  -9.94494;  263.205;
15:37:11    44.1837;  -9.93269;  263.217;
15:37:14    44.1826;  -9.93845;  263.212;
15:37:17    44.1839;  -9.93117;  263.219;
15:37:21    44.1819;  -9.94227;  263.208;
15:37:24    44.1823;  -9.94015;  263.21;
15:37:28    44.1819;  -9.94211;  263.208;
15:37:31    44.1824;  -9.93953;  263.21;
15:37:34    44.1825;  -9.93925;  263.211;
15:37:38    44.1819;  -9.94228;  263.208;
15:37:41    44.1825;  -9.93918;  263.211;
15:37:45    44.1825;  -9.93912;  263.211;
15:37:48    44.1826;  -9.93827;  263.212;
15:37:51    44.1838;  -9.93162;  263.218;
15:37:55    44.1824;  -9.93967;  263.21;
15:37:58    44.1829;  -9.93687;  263.213;
15:38:02    44.1829;  -9.937;  263.213;
15:38:05    44.1822;  -9.94053;  263.209;
15:38:09    44.1829;  -9.93677;  263.213;
15:38:12    44.1831;  -9.93593;  263.214;
15:38:15    44.1819;  -9.94228;  263.208;
15:38:19    44.182;  -9.9419;  263.208;
15:38:22    44.1831;  -9.93568;  263.214;
15:38:26    44.1817;  -9.94348;  263.207;
15:38:29    44.1824;  -9.93976;  263.21;
