time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:28:27    44.1812;  -9.94588;  263.204;
12:28:31    44.1821;  -9.94144;  263.209;
12:28:34    44.1816;  -9.94397;  263.206;
12:28:38    44.182;  -9.94146;  263.209;
12:28:41    44.1815;  -9.9445;  263.205;
12:28:44    44.1817;  -9.94318;  263.207;
12:28:48    44.1816;  -9.94415;  263.206;
12:28:51    44.1806;  -9.94932;  263.201;
12:28:55    44.1811;  -9.94643;  263.204;
12:28:58    44.1816;  -9.94409;  263.206;
12:29:01    44.1813;  -9.94537;  263.205;
12:29:05    44.1793;  -9.95659;  263.193;
12:29:08    44.1801;  -9.95235;  263.198;
12:29:12    44.1776;  -9.96587;  263.184;
12:29:15    44.1798;  -9.95392;  263.196;
12:29:19    44.1791;  -9.95755;  263.192;
12:29:22    44.1777;  -9.96538;  263.185;
12:29:25    44.1794;  -9.95617;  263.194;
12:29:29    44.1793;  -9.95644;  263.194;
12:29:32    44.1779;  -9.96405;  263.186;
12:29:36    44.1785;  -9.9607;  263.189;
12:29:39    44.1785;  -9.96096;  263.189;
12:29:43    44.1803;  -9.95073;  263.199;
12:29:46    44.1784;  -9.96148;  263.189;
12:29:49    44.1819;  -9.94253;  263.207;
12:29:53    44.183;  -9.93637;  263.214;
12:29:56    44.1816;  -9.94366;  263.206;
12:30:00    44.1849;  -9.92598;  263.224;
12:30:03    44.1799;  -9.95344;  263.197;
12:30:07    44.183;  -9.93636;  263.214;
12:30:10    44.183;  -9.93639;  263.214;
12:30:13    44.1826;  -9.93849;  263.212;
12:30:17    44.1833;  -9.93461;  263.215;
12:30:20    44.1822;  -9.9408;  263.209;
12:30:24    44.182;  -9.94164;  263.208;
12:30:27    44.1812;  -9.94586;  263.204;
12:30:30    44.1818;  -9.9427;  263.207;
12:30:34    44.1815;  -9.9444;  263.206;
12:30:37    44.181;  -9.94717;  263.203;
12:30:41    44.1811;  -9.94658;  263.203;
12:30:44    44.1818;  -9.94289;  263.207;
12:30:48    44.1826;  -9.93825;  263.212;
12:30:51    44.1816;  -9.94412;  263.206;
12:30:54    44.18;  -9.95265;  263.197;
12:30:58    44.1795;  -9.95532;  263.195;
12:31:01    44.1808;  -9.94814;  263.202;
