time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:43:41    51.5016;  30.2681;  303.418;
14:43:44    51.502;  30.2707;  303.421;
14:43:48    51.5008;  30.2642;  303.414;
14:43:51    51.5009;  30.2646;  303.415;
14:43:55    51.5028;  30.275;  303.425;
14:43:58    51.5029;  30.2757;  303.426;
14:44:01    51.5025;  30.2732;  303.423;
14:44:05    51.5009;  30.2646;  303.415;
14:44:08    51.5044;  30.2837;  303.434;
14:44:12    51.5036;  30.2792;  303.429;
14:44:15    51.5031;  30.2766;  303.427;
14:44:18    51.5022;  30.2714;  303.421;
14:44:22    51.5007;  30.2636;  303.414;
14:44:25    51.5027;  30.2744;  303.424;
14:44:29    51.5005;  30.2624;  303.412;
14:44:32    51.5025;  30.2734;  303.423;
14:44:36    51.4998;  30.2584;  303.408;
14:44:39    51.5025;  30.2736;  303.424;
14:44:42    51.5018;  30.2693;  303.419;
14:44:46    51.5015;  30.2681;  303.418;
14:44:49    51.5019;  30.2698;  303.42;
14:44:53    51.5021;  30.2711;  303.421;
14:44:56    51.5009;  30.2643;  303.414;
14:44:59    51.5013;  30.2665;  303.417;
14:45:03    51.5014;  30.2673;  303.417;
14:45:06    51.5018;  30.2692;  303.419;
14:45:10    51.4999;  30.2591;  303.409;
14:45:13    51.5032;  30.2772;  303.427;
14:45:17    51.501;  30.2648;  303.415;
14:45:20    51.5013;  30.2668;  303.417;
14:45:24    51.5022;  30.2717;  303.422;
14:45:27    51.5014;  30.2673;  303.417;
14:45:30    51.5015;  30.2678;  303.418;
14:45:34    51.5006;  30.2631;  303.413;
14:45:37    51.4989;  30.2534;  303.403;
14:45:41    51.5014;  30.2672;  303.417;
14:45:44    51.5026;  30.2741;  303.424;
14:45:47    51.5002;  30.2605;  303.411;
14:45:51    51.5006;  30.2631;  303.413;
14:45:54    51.5008;  30.2642;  303.414;
14:45:58    51.5011;  30.2659;  303.416;
14:46:01    51.5008;  30.264;  303.414;
14:46:04    51.5025;  30.2731;  303.423;
14:46:08    51.5004;  30.2619;  303.412;
14:46:11    51.502;  30.2703;  303.42;
14:46:15    51.5008;  30.2638;  303.414;
14:46:18    51.5004;  30.2618;  303.412;
14:46:22    51.5016;  30.2683;  303.418;
14:46:25    51.5001;  30.2599;  303.41;
