time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:38:23    44.1797;  -9.95434;  263.196;
12:38:27    44.1803;  -9.95109;  263.199;
12:38:30    44.1818;  -9.94273;  263.207;
12:38:33    44.1815;  -9.94448;  263.206;
12:38:37    44.1816;  -9.94392;  263.206;
12:38:40    44.1827;  -9.93797;  263.212;
12:38:44    44.1814;  -9.94488;  263.205;
12:38:47    44.1814;  -9.94478;  263.205;
12:38:50    44.1809;  -9.94766;  263.202;
12:38:54    44.1818;  -9.94274;  263.207;
12:38:57    44.1826;  -9.93865;  263.211;
12:39:01    44.1815;  -9.94436;  263.206;
12:39:04    44.1806;  -9.94913;  263.201;
12:39:08    44.1808;  -9.94841;  263.202;
12:39:11    44.1786;  -9.96044;  263.19;
12:39:14    44.179;  -9.95834;  263.192;
12:39:18    44.1781;  -9.96312;  263.187;
12:39:21    44.1799;  -9.95318;  263.197;
12:39:25    44.1795;  -9.95563;  263.194;
12:39:28    44.1808;  -9.94842;  263.202;
12:39:31    44.1799;  -9.95303;  263.197;
12:39:35    44.1792;  -9.95723;  263.193;
12:39:38    44.1792;  -9.95696;  263.193;
12:39:42    44.1795;  -9.95561;  263.194;
12:39:45    44.1809;  -9.94782;  263.202;
12:39:49    44.1806;  -9.94918;  263.201;
12:39:52    44.1787;  -9.95984;  263.19;
12:39:55    44.1807;  -9.94868;  263.201;
12:39:59    44.179;  -9.95786;  263.192;
12:40:02    44.1782;  -9.96238;  263.188;
12:40:06    44.1799;  -9.95297;  263.197;
12:40:09    44.1786;  -9.96008;  263.19;
12:40:13    44.1798;  -9.95373;  263.196;
12:40:16    44.1794;  -9.95576;  263.194;
12:40:19    44.1801;  -9.95227;  263.198;
12:40:23    44.1796;  -9.95472;  263.195;
12:40:26    44.1791;  -9.95773;  263.192;
12:40:30    44.1789;  -9.95888;  263.191;
12:40:33    44.1804;  -9.9506;  263.199;
12:40:37    44.1788;  -9.95935;  263.191;
12:40:40    44.1785;  -9.96071;  263.189;
12:40:43    44.1796;  -9.95463;  263.195;
12:40:47    44.1798;  -9.95382;  263.196;
12:40:50    44.1802;  -9.9514;  263.199;
12:40:54    44.1799;  -9.9532;  263.197;
12:40:57    44.1787;  -9.95947;  263.191;
12:41:00    44.1797;  -9.95413;  263.196;
12:41:04    44.1802;  -9.95158;  263.198;
