time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:49:34    47.8166;  9.96446;  283.114;
15:49:38    47.8168;  9.96547;  283.115;
15:49:41    47.813;  9.94459;  283.095;
15:49:44    47.8151;  9.95604;  283.106;
15:49:48    47.8131;  9.94527;  283.095;
15:49:51    47.8137;  9.94856;  283.099;
15:49:55    47.8131;  9.9453;  283.095;
15:49:58    47.8147;  9.9541;  283.104;
15:50:01    47.8142;  9.95155;  283.102;
15:50:05    47.8133;  9.94631;  283.096;
15:50:08    47.8126;  9.94283;  283.093;
15:50:12    47.8129;  9.94416;  283.094;
15:50:15    47.8128;  9.9435;  283.093;
15:50:18    47.8134;  9.94697;  283.097;
15:50:22    47.8139;  9.94972;  283.1;
15:50:25    47.815;  9.95584;  283.106;
15:50:29    47.8133;  9.94618;  283.096;
15:50:32    47.8128;  9.94341;  283.093;
15:50:35    47.8141;  9.95065;  283.101;
15:50:39    47.8148;  9.9548;  283.105;
15:50:43    47.8138;  9.9492;  283.099;
15:50:46    47.813;  9.94451;  283.095;
15:50:49    47.8139;  9.94998;  283.1;
15:50:53    47.8127;  9.94329;  283.093;
15:50:56    47.814;  9.95046;  283.1;
15:51:00    47.8139;  9.94957;  283.1;
15:51:03    47.8144;  9.95259;  283.103;
15:51:06    47.8149;  9.9554;  283.105;
15:51:10    47.814;  9.95003;  283.1;
15:51:13    47.8137;  9.94849;  283.098;
15:51:17    47.8145;  9.95277;  283.103;
15:51:20    47.8157;  9.95957;  283.11;
15:51:24    47.8131;  9.94534;  283.095;
15:51:27    47.8115;  9.93668;  283.087;
15:51:30    47.8126;  9.94255;  283.093;
15:51:34    47.8137;  9.94872;  283.099;
15:51:37    47.8124;  9.94163;  283.092;
15:51:41    47.8125;  9.94223;  283.092;
15:51:44    47.8131;  9.94515;  283.095;
15:51:47    47.814;  9.95039;  283.1;
15:51:51    47.8146;  9.95378;  283.104;
15:51:54    47.8142;  9.95136;  283.101;
15:51:58    47.8127;  9.94295;  283.093;
15:52:01    47.8134;  9.94689;  283.097;
15:52:05    47.8133;  9.94616;  283.096;
15:52:08    47.8126;  9.94238;  283.092;
