time   Resistance(Ohm);  Temperature('C);  Temperature(K);
13:49:02    44.1778;  -9.96474;  263.185;
13:49:05    44.1784;  -9.96132;  263.189;
13:49:08    44.1782;  -9.96238;  263.188;
13:49:12    44.1797;  -9.95414;  263.196;
13:49:15    44.1783;  -9.96192;  263.188;
13:49:19    44.1762;  -9.97365;  263.176;
13:49:22    44.1773;  -9.96763;  263.182;
13:49:25    44.176;  -9.97457;  263.175;
13:49:29    44.1801;  -9.9523;  263.198;
13:49:32    44.1772;  -9.96804;  263.182;
13:49:36    44.1771;  -9.96868;  263.181;
13:49:39    44.1779;  -9.96427;  263.186;
13:49:43    44.178;  -9.96367;  263.186;
13:49:46    44.1767;  -9.97068;  263.179;
13:49:49    44.1771;  -9.96828;  263.182;
13:49:53    44.179;  -9.95784;  263.192;
13:49:56    44.1766;  -9.97096;  263.179;
13:50:00    44.176;  -9.97435;  263.176;
13:50:03    44.1776;  -9.96576;  263.184;
13:50:06    44.1775;  -9.96632;  263.184;
13:50:10    44.1765;  -9.97188;  263.178;
13:50:13    44.1768;  -9.96996;  263.18;
13:50:17    44.1779;  -9.96419;  263.186;
13:50:20    44.1767;  -9.97042;  263.18;
13:50:24    44.1767;  -9.97089;  263.179;
13:50:27    44.1786;  -9.96007;  263.19;
13:50:31    44.1774;  -9.96689;  263.183;
13:50:34    44.1771;  -9.96823;  263.182;
13:50:37    44.1771;  -9.96828;  263.182;
13:50:41    44.1758;  -9.97555;  263.174;
13:50:44    44.1766;  -9.97097;  263.179;
13:50:48    44.1764;  -9.97245;  263.178;
13:50:51    44.1772;  -9.96777;  263.182;
13:50:54    44.1745;  -9.98253;  263.167;
13:50:58    44.1791;  -9.95737;  263.193;
13:51:01    44.1763;  -9.97257;  263.177;
13:51:05    44.1769;  -9.96974;  263.18;
13:51:08    44.1765;  -9.97176;  263.178;
13:51:11    44.178;  -9.96374;  263.186;
13:51:15    44.1784;  -9.96111;  263.189;
13:51:18    44.1765;  -9.97174;  263.178;
13:51:22    44.1761;  -9.97382;  263.176;
13:51:25    44.1763;  -9.973;  263.177;
13:51:29    44.1759;  -9.97521;  263.175;
13:51:32    44.1764;  -9.97221;  263.178;
13:51:35    44.177;  -9.96898;  263.181;
13:51:39    44.1791;  -9.95728;  263.193;
13:51:42    44.1769;  -9.96935;  263.181;
13:51:46    44.1786;  -9.96006;  263.19;
13:51:49    44.1754;  -9.97749;  263.173;
13:51:53    44.1769;  -9.96974;  263.18;
13:51:56    44.1766;  -9.97145;  263.179;
13:51:59    44.177;  -9.96929;  263.181;
13:52:03    44.1765;  -9.97157;  263.178;
13:52:06    44.1763;  -9.97284;  263.177;
13:52:10    44.176;  -9.97475;  263.175;
13:52:13    44.177;  -9.96894;  263.181;
13:52:17    44.1763;  -9.97308;  263.177;
13:52:20    44.1772;  -9.96791;  263.182;
13:52:23    44.177;  -9.96901;  263.181;
13:52:27    44.1771;  -9.96837;  263.182;
13:52:30    44.1755;  -9.97703;  263.173;
13:52:34    44.1771;  -9.96836;  263.182;
13:52:37    44.177;  -9.96878;  263.181;
13:52:40    44.1755;  -9.9773;  263.173;
13:52:44    44.1771;  -9.96852;  263.181;
13:52:47    44.1746;  -9.98193;  263.168;
13:52:51    44.1767;  -9.97079;  263.179;
13:52:54    44.1764;  -9.97251;  263.177;
