time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:34:50    51.5148;  30.341;  303.491;
15:34:54    51.5137;  30.3352;  303.485;
15:34:57    51.5137;  30.3353;  303.485;
15:35:00    51.5148;  30.3414;  303.491;
15:35:04    51.5161;  30.3483;  303.498;
15:35:07    51.5148;  30.3415;  303.492;
15:35:11    51.5137;  30.3352;  303.485;
15:35:14    51.5142;  30.3378;  303.488;
15:35:17    51.515;  30.3422;  303.492;
15:35:21    51.515;  30.3427;  303.493;
15:35:24    51.5145;  30.3395;  303.49;
15:35:28    51.5146;  30.3405;  303.49;
15:35:31    51.5154;  30.3446;  303.495;
15:35:35    51.5144;  30.339;  303.489;
15:35:38    51.5143;  30.3387;  303.489;
15:35:41    51.5149;  30.3419;  303.492;
15:35:45    51.5144;  30.3393;  303.489;
15:35:48    51.5158;  30.3466;  303.497;
15:35:52    51.5122;  30.3272;  303.477;
15:35:55    51.5138;  30.3359;  303.486;
15:35:59    51.5126;  30.3293;  303.479;
15:36:02    51.5123;  30.3272;  303.477;
15:36:05    51.5146;  30.3401;  303.49;
15:36:09    51.5125;  30.3288;  303.479;
15:36:12    51.5145;  30.3396;  303.49;
15:36:16    51.5152;  30.3437;  303.494;
15:36:19    51.5132;  30.3326;  303.483;
15:36:23    51.514;  30.337;  303.487;
15:36:26    51.5138;  30.3359;  303.486;
15:36:29    51.5145;  30.3398;  303.49;
15:36:33    51.5148;  30.3415;  303.492;
15:36:36    51.5154;  30.3446;  303.495;
15:36:40    51.5155;  30.345;  303.495;
15:36:43    51.516;  30.3477;  303.498;
15:36:46    51.5128;  30.3304;  303.48;
15:36:50    51.5136;  30.3347;  303.485;
15:36:53    51.5141;  30.3373;  303.487;
15:36:57    51.5154;  30.3448;  303.495;
15:37:00    51.5151;  30.3429;  303.493;
15:37:04    51.5148;  30.3414;  303.491;
15:37:07    51.5141;  30.3375;  303.487;
15:37:10    51.513;  30.3311;  303.481;
15:37:14    51.515;  30.3422;  303.492;
15:37:17    51.5148;  30.3411;  303.491;
15:37:20    51.513;  30.3314;  303.481;
15:37:24    51.5133;  30.3328;  303.483;
15:37:27    51.5145;  30.3399;  303.49;
