time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:31:18    44.1804;  -9.95053;  263.199;
15:31:22    44.181;  -9.94705;  263.203;
15:31:25    44.1818;  -9.94274;  263.207;
15:31:28    44.1827;  -9.93799;  263.212;
15:31:32    44.1822;  -9.94076;  263.209;
15:31:35    44.18;  -9.95269;  263.197;
15:31:39    44.1811;  -9.94645;  263.204;
15:31:42    44.1818;  -9.94294;  263.207;
15:31:45    44.1823;  -9.93999;  263.21;
15:31:49    44.182;  -9.94161;  263.208;
15:31:52    44.1793;  -9.95643;  263.194;
15:31:56    44.1806;  -9.94939;  263.201;
15:31:59    44.1821;  -9.94112;  263.209;
15:32:03    44.1798;  -9.95395;  263.196;
15:32:06    44.1802;  -9.95147;  263.199;
15:32:09    44.1822;  -9.94073;  263.209;
15:32:13    44.1828;  -9.93761;  263.212;
15:32:16    44.1814;  -9.94501;  263.205;
15:32:20    44.182;  -9.94172;  263.208;
15:32:23    44.1812;  -9.94631;  263.204;
15:32:26    44.1829;  -9.93655;  263.213;
15:32:30    44.1799;  -9.95334;  263.197;
15:32:33    44.1807;  -9.94895;  263.201;
15:32:37    44.1812;  -9.94618;  263.204;
15:32:40    44.1822;  -9.94082;  263.209;
15:32:44    44.1819;  -9.94211;  263.208;
15:32:47    44.1828;  -9.93711;  263.213;
15:32:51    44.1827;  -9.93796;  263.212;
15:32:54    44.1817;  -9.94346;  263.207;
15:32:57    44.1831;  -9.93581;  263.214;
15:33:01    44.18;  -9.95278;  263.197;
15:33:04    44.1796;  -9.95501;  263.195;
15:33:08    44.1814;  -9.94519;  263.205;
15:33:11    44.1824;  -9.9395;  263.21;
15:33:14    44.1839;  -9.93116;  263.219;
15:33:18    44.1818;  -9.94295;  263.207;
15:33:21    44.1818;  -9.94267;  263.207;
15:33:25    44.1814;  -9.94509;  263.205;
15:33:28    44.1821;  -9.94138;  263.209;
15:33:31    44.1822;  -9.94058;  263.209;
15:33:35    44.1815;  -9.94457;  263.205;
15:33:38    44.1804;  -9.95049;  263.2;
15:33:42    44.1816;  -9.94417;  263.206;
15:33:45    44.1803;  -9.95102;  263.199;
15:33:48    44.1805;  -9.94975;  263.2;
15:33:52    44.1816;  -9.94373;  263.206;
15:33:55    44.1805;  -9.95006;  263.2;
15:33:59    44.1817;  -9.94334;  263.207;
15:34:02    44.1807;  -9.949;  263.201;
15:34:06    44.182;  -9.94176;  263.208;
15:34:09    44.1821;  -9.94101;  263.209;
15:34:13    44.1824;  -9.93967;  263.21;
15:34:16    44.1811;  -9.94643;  263.204;
