time   Resistance(Ohm);  Temperature('C);  Temperature(K);
15:30:25    51.5021;  30.2709;  303.421;
15:30:29    51.5017;  30.2691;  303.419;
15:30:32    51.502;  30.2705;  303.42;
15:30:36    51.5023;  30.2724;  303.422;
15:30:39    51.5008;  30.2638;  303.414;
15:30:43    51.4992;  30.2549;  303.405;
15:30:46    51.5006;  30.2631;  303.413;
15:30:49    51.4997;  30.2579;  303.408;
15:30:53    51.4996;  30.2571;  303.407;
15:30:56    51.5015;  30.2676;  303.418;
15:31:00    51.4994;  30.2559;  303.406;
15:31:03    51.5001;  30.2598;  303.41;
15:31:06    51.5009;  30.2646;  303.415;
15:31:10    51.4979;  30.248;  303.398;
15:31:13    51.5017;  30.2687;  303.419;
15:31:17    51.4979;  30.2481;  303.398;
15:31:20    51.4998;  30.2582;  303.408;
15:31:24    51.4998;  30.2584;  303.408;
15:31:27    51.5012;  30.2663;  303.416;
15:31:30    51.5003;  30.2611;  303.411;
15:31:34    51.5018;  30.2697;  303.42;
15:31:37    51.5014;  30.2672;  303.417;
15:31:41    51.5;  30.2594;  303.409;
15:31:44    51.4988;  30.2529;  303.403;
15:31:47    51.4993;  30.2555;  303.406;
15:31:51    51.4987;  30.2526;  303.403;
15:31:54    51.501;  30.2648;  303.415;
15:31:58    51.5005;  30.2623;  303.412;
15:32:01    51.4994;  30.2562;  303.406;
15:32:05    51.5003;  30.261;  303.411;
15:32:08    51.4999;  30.2589;  303.409;
15:32:11    51.501;  30.2649;  303.415;
15:32:15    51.4988;  30.2527;  303.403;
15:32:18    51.5005;  30.2622;  303.412;
15:32:22    51.5001;  30.2603;  303.41;
15:32:25    51.5004;  30.2617;  303.412;
15:32:28    51.4977;  30.2466;  303.397;
15:32:32    51.5001;  30.2602;  303.41;
15:32:35    51.4981;  30.2491;  303.399;
15:32:39    51.4987;  30.2526;  303.403;
15:32:42    51.499;  30.2539;  303.404;
15:32:46    51.501;  30.2652;  303.415;
15:32:49    51.4998;  30.2583;  303.408;
15:32:52    51.499;  30.2538;  303.404;
15:32:56    51.5002;  30.2607;  303.411;
15:32:59    51.5002;  30.2607;  303.411;
