time   Resistance(Ohm);  Temperature('C);  Temperature(K);
12:42:01    47.8241;  10.0057;  283.156;
12:42:04    47.8234;  10.0018;  283.152;
12:42:07    47.8227;  9.99807;  283.148;
12:42:11    47.8218;  9.99317;  283.143;
12:42:14    47.8223;  9.99565;  283.146;
12:42:18    47.8232;  10.0006;  283.151;
12:42:21    47.822;  9.994;  283.144;
12:42:25    47.8251;  10.0113;  283.161;
12:42:28    47.8209;  9.98833;  283.138;
12:42:32    47.8244;  10.0073;  283.157;
12:42:35    47.822;  9.99404;  283.144;
12:42:38    47.8229;  9.99891;  283.149;
12:42:42    47.8245;  10.0081;  283.158;
12:42:45    47.8233;  10.0014;  283.151;
12:42:49    47.8234;  10.0018;  283.152;
12:42:52    47.8206;  9.98646;  283.136;
12:42:55    47.8226;  9.99753;  283.148;
12:42:59    47.8213;  9.99056;  283.141;
12:43:02    47.8226;  9.9977;  283.148;
12:43:06    47.8223;  9.99587;  283.146;
12:43:09    47.8223;  9.99588;  283.146;
12:43:13    47.823;  9.99959;  283.15;
12:43:16    47.823;  9.99984;  283.15;
12:43:19    47.8225;  9.99686;  283.147;
12:43:23    47.8236;  10.0028;  283.153;
12:43:26    47.8215;  9.99164;  283.142;
12:43:30    47.8223;  9.99567;  283.146;
12:43:33    47.822;  9.99448;  283.144;
12:43:36    47.8228;  9.9988;  283.149;
12:43:40    47.8212;  9.99008;  283.14;
12:43:43    47.8229;  9.99899;  283.149;
12:43:47    47.8214;  9.99093;  283.141;
12:43:50    47.8219;  9.99389;  283.144;
12:43:54    47.8234;  10.002;  283.152;
12:43:57    47.8203;  9.98467;  283.135;
12:44:01    47.8213;  9.9906;  283.141;
12:44:04    47.8208;  9.98758;  283.138;
12:44:07    47.8228;  9.99858;  283.149;
12:44:11    47.8209;  9.98793;  283.138;
12:44:14    47.8229;  9.99901;  283.149;
12:44:18    47.8202;  9.98426;  283.134;
12:44:21    47.8221;  9.99487;  283.145;
12:44:24    47.8228;  9.99864;  283.149;
12:44:28    47.8231;  10.0005;  283.151;
12:44:31    47.8223;  9.99583;  283.146;
12:44:35    47.823;  9.99951;  283.15;
12:44:38    47.8219;  9.99343;  283.143;
12:44:42    47.8244;  10.0071;  283.157;
12:44:45    47.8216;  9.99212;  283.142;
12:44:48    47.8205;  9.98582;  283.136;
12:44:52    47.8205;  9.98588;  283.136;
12:44:55    47.822;  9.99441;  283.144;
